,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
12131,α12733,ἀπόκλαυμα,n,n-s---nn3t,ἀποκλαύματος,,,,,0
12132,α12735,ἀποκλάω,v,----------,,,,,,0
12133,α12734,ἀποκλάω,n,----------,,,,,,0
12134,α12736,ἀπόκλεισις,n,n-s---fn3v,ἀποκλεισέως,,,,,0
12135,α12737,ἀπόκλεισμα,n,n-s---nn3t,ἀποκλείσματος,,,,,0
12136,α12738,ἀποκλεισμός,n,----------,,,,,,0
12138,α12740,ἀποκλείω,v,----------,,,,,,0
12139,α12741,ἀποκλέπτω,v,----------,,,,,,0
12141,α12743,ἀποκληρόνομος,a,aps---cn2-,ἀποκληρόνομος ἀποκληρόνομος ἀποκληρόνομον,,,,,0
12142,α12744,ἀπόκληρος,a,aps---cn2-,ἀπόκληρος ἀπόκληρος ἀπόκληρον,,,,,0
12143,α12745,ἀποκληρόω,v,----------,,,,,,0
12144,α12746,ἀποκλήρωσις,n,n-s---fn3v,ἀποκληρωσέως,,,,,0
12145,α12747,ἀποκληρωτέον,a,----------,,,,,,0
12147,α12749,ἀπόκλησις,n,----------,,,,,,0
12148,α12750,ἀπόκλητος,a,aps---cn2-,ἀπόκλητος ἀπόκλητος ἀπόκλητον,,,,,0
12149,α12751,ἀπόκλιμα,n,n-s---nn3t,ἀποκλίματος,,,,,0
12150,α12752,ἀποκλιμάκωσις,n,n-s---fn3v,ἀποκλιμακωσέως,,,,,0
12151,α12753,ἀποκλινής,a,aps---cn5s,ἀποκλινής ἀποκλινής ἀποκλινές,,,,,0
12152,α12754,ἀποκλίνω,v,----------,,,,,,0
12153,α12755,ἀπόκλισις,n,n-s---fn3v,ἀποκλισέως,,,,,0
12154,α12756,ἀποκλιτέον,a,----------,,,,,,0
12156,α12759,ἀποκλύζω,v,----------,,,,,,0
12157,α12760,ἀπόκλυσις,n,n-s---fn3v,ἀποκλυσέως,,,,,0
12158,α12761,ἀπόκλωμα,n,----------,,,,,,0
12159,α12762,ἀποκλωνεῖ,n,----------,,,,,,0
12160,α12763,ἀποκμητέον,v,----------,,,,,,0
12162,α12765,ἀποκναίω,v,----------,,,,,,0
12163,α12766,ἀποκνέω,v,----------,,,,,,0
12164,α12767,ἀπόκνησις,n,n-s---fn3v,ἀποκνησέως,,,,,0
12165,α12768,ἀποκνητέον,n,----------,,,,,,0
12166,α12769,ἀποκνίζω,v,----------,,,,,,0
12167,α12770,ἀπόκνισις,n,n-s---fn3v,ἀποκνισέως,,,,,0
12168,α12771,ἀπόκνισμα,n,n-s---nn3t,ἀποκνίσματος,,,,,0
12169,α12772,ἀποκογχίζω,v,----------,,,,,,0
12170,α12773,ἀποκοιμάομαι,v,----------,,,,,,0
12172,α12775,ἀποκοιτέω,v,----------,,,,,,0
12173,α12776,ἀπόκοιτος,a,aps---cn2-,ἀπόκοιτος ἀπόκοιτος ἀπόκοιτον,,,,,0
12174,α12777,ἀποκολακεύω,v,----------,,,,,,0
12176,α12779,ἀποκολλάω,v,----------,,,,,,0
12178,α12781,ἀποκολούω,v,----------,,,,,,0
12127,α12758,ἀποκλᾳξον,n,----------,,,,,,0
12181,α12784,ἀποκομάω,v,----------,,,,,,0
12182,α12785,ἀποκομιδή,n,n-s---fn1e,ἀποκομιδῆς,,,,,0
12183,α12786,ἀποκομίζω,v,----------,,,,,,0
12184,α12787,ἀποκομιστής,n,n-s---mn1e,ἀποκομιστού,,,,,0
12185,α12788,ἀποκομιστικός,n,----------,,,,,,0
12186,α12789,ἀπόκομμα,n,n-s---nn3t,ἀποκόμματος,,,,,0
12187,α12790,ἀποκομπάζω,v,----------,,,,,,0
12189,α12792,ἀποκονίω,v,----------,,,,,,0
12190,α12793,ἀποκοντόω,v,----------,,,,,,0
12191,α12794,ἀποκοπέομαι,v,----------,,,,,,0
12193,α12796,ἀπόκοπος,a,aps---cn2-,ἀπόκοπος ἀπόκοπος ἀπόκοπον,,,,,0
12194,α12797,ἀποκοπρόομαι,v,----------,,,,,,0
12195,α12798,ἀποκοπτέον,a,----------,,,,,,0
12197,α12800,ἀποκοπτός,a,aps---mn1-,ἀποκοπτός ἀποκοπτή ἀποκοπτόν,,,,,0
12198,α12801,ἀποκόπτω,v,----------,,,,/a.po.kóp.tɔː/,,0
12199,α12802,ἀποκορέννυμι,v,----------,,,,,,0
12200,α12803,ἀποκορέω,v,----------,,,,,,0
12201,α12804,ἀποκορσόομαι,v,----------,,,,,,0
12202,α12805,ἀποκορυφόω,v,----------,,,,,,0
12203,α12806,ἀποκορύφωσις,n,n-s---fn3v,ἀποκορυφωσέως,,,,,0
12204,α12807,ἄποκος,a,----------,,,,,,0
12205,α12808,ἀποκοσμέω,v,----------,,,,,,0
12206,α12809,ἀποκοτταβίζω,v,----------,,,,,,0
12208,α12811,ἀποκουφίζω,v,----------,,,,,,0
12209,α12812,ἀποκόψιμος,v,----------,,,,,,0
12211,α12815,ἀποκραδίζω,v,----------,,,,,,0
12212,α12816,ἀποκράδιος,a,aps---cn2-,ἀποκράδιος ἀποκράδιος ἀποκράδιον,,,,,0
12213,α12817,ἀποκράζω,v,----------,,,,,,0
12214,α12818,ἀποκραιπαλάω,v,----------,,,,,,0
12215,α12819,ἀποκραιπαλίζομαι,v,----------,,,,,,0
12217,α12821,ἀποκρανίζω,v,----------,,,,,,0
12218,α12822,ἀποκρατέω,v,----------,,,,,,0
12219,α12814,ἀπόκπατος,a,aps---cn2-,ἀπόκπατος ἀπόκπατος ἀπόκπατον,,,,,0
12220,α12823,ἀποκρεμάζω,v,----------,,,,,,0
12221,α12824,ἀποκρέμαμαι,v,----------,,,,,,0
12222,α12825,ἀποκρεμάννυμι,v,----------,,,,,,0
12224,α12827,ἀποκρέμασμα,n,n-s---nn3t,ἀποκρεμάσματος,,,,,0
12226,α12829,ἀποκρεμάω,v,----------,,,,,,0
12227,α12830,ἀποκρεμής,a,aps---cn5s,ἀποκρεμής ἀποκρεμής ἀποκρεμές,,,,,0
12228,α12832,ἀποκρήμνημι,v,----------,,,,,,0
12229,α12831,ἀποκρημϝιζω,v,----------,,,,,,0
12230,α12833,ἀπόκρημνος,a,aps---cn2-,ἀπόκρημνος ἀπόκρημνος ἀπόκρημνον,,,,,0
12231,α12834,ἀποκρημνόω,v,----------,,,,,,0
12232,α12835,ἀποκριδόν,r,----------,,,,,,0
12180,α12783,ἀποκολυμβάω,v,----------,,,,,,0
12236,α12839,ἄποκρισις,n,n-s---fn3v,ἀποκρισέως,,,,,0
12237,α12840,ἀποκριτέον,v,----------,,,,,,0
12238,α12841,ἀποκριτικός,a,aps---mn1-,ἀποκριτικός ἀποκριτική ἀποκριτικόν,,,,,0
12239,α12842,ἀπόκριτος,a,aps---cn2-,ἀπόκριτος ἀπόκριτος ἀπόκριτον,,,,,0
12240,α12843,ἀποκροτέω,v,----------,,,,,,0
12241,α12844,ἀποκρότημα,n,n-s---nn3t,ἀποκροτήματος,,,,,0
12242,α12845,ἀπόκροτος,a,aps---cn2-,ἀπόκροτος ἀπόκροτος ἀπόκροτον,,,,,0
12243,α12846,ἀποκρουνίζω,v,----------,,,,,,0
12244,α12847,ἀπόκρουσις,n,n-s---fn3v,ἀποκρουσέως,,,,,0
12245,α12848,ἀποκρουστέον,a,----------,,,,,,0
12248,α12851,ἀποκρούω,v,----------,,,,,,0
12249,α12852,ἀποκρυβή,n,n-s---fn1e,ἀποκρυβῆς,,,,,0
12250,α12853,ἀποκρύβω,v,----------,,,,,,0
12251,α12854,ἀποκρύπτω,v,----------,,,,,,0
12252,α12855,ἀποκρυσταλλόομαι,v,----------,,,,,,0
12253,α12856,ἀποκρυφή,n,n-s---fn1e,ἀποκρυφῆς,,,,,0
12255,α12858,ἀπόκρυψις,n,n-s---fn3v,ἀποκρυψέως,,,,,0
12256,α12859,ἀποκτάμεν,n,----------,,,,,,0
12257,α12860,ἀποκτάομαι,v,----------,,,,,,0
12258,α12861,ἀποκτείνυμι,v,----------,,,,,,0
12259,α12862,ἀποκτείνω,v,----------,,,,/a.pok.těː.nɔː/,,0
12260,α12863,ἀποκτενείω,v,----------,,,,,,0
12261,α12864,ἀποκτέννω,v,----------,,,,,,0
12263,α12866,ἀπόκτισις,n,n-s---fn3v,ἀποκτισέως,,,,,0
12264,α12867,ἀποκτυπέω,v,----------,,,,,,0
12265,α12868,ἀποκυαμεύω,v,----------,,,,,,0
12266,α12869,ἀποκυβεύω,v,----------,,,,,,0
12267,α12870,ἀποκυβιστάω,v,----------,,,,,,0
12268,α12871,ἀποκυδαίνω,v,----------,,,,,,0
12269,α12872,ἀποκυέω,v,----------,,,,,,0
12271,α12874,ἀποκυητικός,a,aps---mn1-,ἀποκυητικός ἀποκυητική ἀποκυητικόν,,,,,0
12272,α12875,ἀποκυΐσκω,v,----------,,,,,,0
12273,α12876,ἀποκυλινδέω,v,----------,,,,,,0
12274,α12877,ἀποκύλισμα,n,n-s---nn3t,ἀποκυλίσματος,,,,,0
12275,α12878,ἀποκυλίω,v,----------,,,,,,0
12276,α12879,ἀποκυματίζω,v,----------,,,,,,0
12278,α12881,ἀποκυνόω,v,----------,,,,,,0
12279,α12882,ἀποκύπτω,v,----------,,,,,,0
12280,α12883,ἀποκυρόω,v,----------,,,,,,0
12282,α12885,ἀποκύρωσις,n,n-s---fn3v,ἀποκυρωσέως,,,,,0
12283,α12886,ἀποκωκύω,v,----------,,,,,,0
12284,α12887,ἀποκώλυσις,n,n-s---fn3v,ἀποκωλυσέως,,,,,0
12285,α12888,ἀποκωλυτέον,a,----------,,,,,,0
12286,α12889,ἀποκωλύω,v,----------,,,,,,0
12234,α12837,ἀποκρίνω,v,----------,,,,/a.po.krǐː.nɔː/,,0
12290,α12893,ἀπολάγαξις,n,n-s---fn3v,ἀπολαγαξέως,,,,,0
12291,α12894,ἀπολαγνεύω,v,----------,,,,,,0
12292,α12895,ἀπολαγχάνω,v,----------,,,,,,0
12293,α12896,ἀπολάζυμαι,v,----------,,,,,,0
12295,α12898,ἀπολάκημα,n,n-s---nn3t,ἀπολακήματος,,,,,0
12296,α12899,ἀπολακτίζω,v,----------,,,,,,0
12297,α12900,ἀπολάκτισμα,n,n-s---nn3t,ἀπολακτίσματος,,,,,0
12298,α12901,ἀπολακτισμός,n,----------,,,,,,0
12299,α12902,ἀπολαλέω,v,----------,,,,,,0
12300,α12903,ἀπολαμβάνω,v,----------,,,,,,0
12302,α12905,ἀπολάμπω,v,----------,,,,,,0
12303,α12906,ἀπόλαμψις,n,----------,,,,,,0
12304,α12907,ἀπολανθάνομαι,v,----------,,,,,,0
12305,α12908,ἀπολάντιον,n,n-s---nn2-,ἀπολαντίου,,,,,0
12306,α12909,ἀπολάπτω,v,----------,,,,,,0
12309,α12912,ἀπολαυστέον,a,----------,,,,,,0
12310,α12913,ἀπολαυστικός,a,aps---mn1-,ἀπολαυστικός ἀπολαυστική ἀπολαυστικόν,,,,,0
12311,α12914,ἀπολαυστός,a,aps---cn2-,ἀπολαυστός ἀπολαυστός ἀπολαυστόν,,,,,0
12312,α12915,ἀπολαύω,v,----------,,,,,,0
12313,α12916,ἀπολεαίνω,v,----------,,,,,,0
12314,α12917,ἀπολέγω,v,----------,,,,,,0
12315,α12918,ἀπολειαίνω,v,----------,,,,,,0
12316,α12919,ἀπολείβω,v,----------,,,,,,0
12318,α12921,ἀπολειόω,v,----------,,,,,,0
12319,α12922,ἀπολειπής,n,----------,,,,,,0
12320,α12923,ἀπολειπτέον,v,----------,,,,,,0
12321,α12924,ἀπολείπω,v,----------,,,,,,0
12322,α12925,ἀπολειτουργέω,v,----------,,,,,,0
12323,α12926,ἀπολείχω,v,----------,,,,,,0
12326,α12929,ἀπολελεγμένως,n,----------,,,,,,0
12327,α12930,ἀπολελυμένως,r,----------,,,,,,0
12328,α12931,ἀπολέμητος,a,aps---cn2-,ἀπολέμητος ἀπολέμητος ἀπολέμητον,,,,,0
12329,α12932,ἀπόλεμμα,n,n-s---nn3t,ἀπολέμματος,,,,,0
12330,α12933,ἀπόλεμος,a,aps---cn2-,ἀπόλεμος ἀπόλεμος ἀπόλεμον,,,,,0
12331,α12934,ἀπολεοντόομαι,v,----------,,,,,,0
12332,α12935,ἀπολεπιδόομαι,v,----------,,,,,,0
12333,α12936,ἀπολεπίζω,v,----------,,,,,,0
12334,α12937,ἀπολέπισμα,n,n-s---nn3t,ἀπολεπίσματος,,,,,0
12335,α12938,ἀπολεπτύνω,v,----------,,,,,,0
12337,α12940,ἀπολέπω,v,----------,,,,,,0
12338,α12941,ἀπολέσκετο,n,----------,,,,,,0
12339,α12942,ἀπολευκαίνω,v,----------,,,,,,0
12340,α12943,ἀπολευκόω,v,----------,,,,,,0
12342,α12945,ἀπολήγω,v,----------,,,,,,0
12343,α12946,ἀποληκέω,v,----------,,,,,,0
12289,α12892,ἀπολαγαίω,v,----------,,,,,,0
12347,α12950,ἀποληρέω,v,----------,,,,,,0
12348,α12951,ἀπόληψις,n,n-s---fn3v,ἀποληψέως,,,,,0
12349,α12952,ἀπολιβάζω,v,----------,,,,,,0
12350,α12953,ἀπολιγαίνω,v,----------,,,,,,0
12351,α12954,ἀπολιγωρέω,v,----------,,,,,,0
12352,α12955,ἀπολιθόω,v,----------,,,,,,0
12353,α12956,ἀπολίθωσις,n,n-s---fn3v,ἀπολιθωσέως,,,,,0
12354,α12957,ἀπολιμνόομαι,v,----------,,,,,,0
12355,α12958,ἀπολιμπάνω,v,----------,,,,,,0
12356,α12959,ἀπόλινον,n,n-s---nn2-,ἀπολίνου,,,,,0
12357,α12960,ἀπολινόω,v,----------,,,,,,0
12360,α12963,ἀπολιόω,v,----------,,,,,,0
12361,α12964,ἀπολιπαίνω,v,----------,,,,,,0
12362,α12965,ἄπολις,n,----------,,,,,,0
12363,α12966,ἀπολισθάνω,v,----------,,,,,,0
12364,α12967,ἀπολίσθησις,n,n-s---fn3v,ἀπολισθησέως,,,,,0
12365,α12968,ἀπόλιστος,a,aps---cn2-,ἀπόλιστος ἀπόλιστος ἀπόλιστον,,,,,0
12366,α12969,ἀπολιταργίζω,v,----------,,,,,,0
12368,α12971,ἀπολίτης,n,----------,,,,,,0
12370,α12973,ἀπολίτρωσις,n,n-s---fn3v,ἀπολιτρωσέως,,,,,0
12371,α12974,ἀπολιχμάζω,v,----------,,,,,,0
12372,α12975,ἀπολιχμάομαι,v,----------,,,,,,0
12373,α12976,ἀπολλαπλάσιος,a,aps---cn2-,ἀπολλαπλάσιος ἀπολλαπλάσιος ἀπολλαπλάσιον,,,,,0
12374,,Ἀπολλόδωρος,n,,Ἀπολλοδώρου,,,/a.pol.ló.dɔː.ros/,,0
12375,α12977,ἀπόλλυμι,v,----------,,,,/a.pól.lyː.mi/,,0
12376,α12978,ἀπόλλω,v,----------,,,,,,0
12377,,Ἀπόλλων,n,,,,,/a.pól.lɔːn/,,0
12378,,Ἀπολλώνεια,n,n-p---nn2-,Ἀπολλωνείων,,,,,0
12380,,Ἀπολλωνιασταί,n,n-p---mn2-,Ἀπολλωνιαστῶν,,,,,0
12381,,Ἀπολλώνιος,a,aps---mn1-,Ἀπολλώνιος Ἀπολλώνια Ἀπολλώνιον,,aps---cn2-=Ἀπολλώνιος aps---cn2-=Ἀπολλώνιος aps---nn2-=Ἀπολλώνιον,,,0
12382,,Ἀπολλωνίσκος,n,n-s---mn2-,Ἀπολλωνίσκου,,,,,0
12383,,Ἀπολλωνιών,n,n-s---mn3n,Ἀπολλωνιῶνος,,,,,0
12384,,Ἀπολλωνόβλητος,a,aps---cn2-,Ἀπολλωνόβλητος Ἀπολλωνόβλητος Ἀπολλωνόβλητον,,,,,0
12385,,Ἀπολλωνόννησοι,n,----------,,,,,,0
12387,α12979,ἀπολογέομαι,v,----------,,,,,,0
12388,α12980,ἀπολογή,n,n-s---fn1e,ἀπολογῆς,,,,,0
12389,α12981,ἀπολόγημα,n,n-s---nn3t,ἀπολογήματος,,,,,0
12390,α12982,ἀπολογητέον,v,----------,,,,,,0
12391,α12983,ἀπολογητικός,a,aps---mn1-,ἀπολογητικός ἀπολογητική ἀπολογητικόν,,,,,0
12392,α12984,ἀπολογία,n,n-s---fn1l,ἀπολογίας,,,/a.po.lo.ɡí.aː/,,0
12393,α12985,ἀπολογίζομαι,v,----------,,,,,,0
12394,α12986,ἀπολογισμός,n,----------,,,,,,0
12345,α12948,ἀποληπτέον,v,----------,,,,,,0
12397,α12989,ἀπολοιδορέω,v,----------,,,,,,0
12398,α12990,ἀπολοιπασία,n,n-s---fn1l,ἀπολοιπασίας,,,,,0
12400,α12992,ἀπολοπίζω,v,----------,,,,,,0
12401,α12993,ἄπολος,a,aps---cn2-,ἄπολος ἄπολος ἄπολον,,,,,0
12402,α12994,ἀπόλουμα,n,n-s---nn3t,ἀπολούματος,,,,,0
12403,α12995,ἀπόλουσις,n,n-s---fn3v,ἀπολουσέως,,,,,0
12405,α12997,ἀπολούω,v,----------,,,,,,0
12406,α12998,ἀπολοφύρομαι,v,----------,,,,,,0
12407,α12999,ἀπολόφυρσις,n,n-s---fn3v,ἀπολοφυρσέως,,,,,0
12408,α13000,ἀπολοχμόομαι,v,----------,,,,,,0
12409,α13001,ἀπόλυμα,n,n-s---nn3t,ἀπολύματος,,,,,0
12410,α13002,ἀπολυμαίνομαι,v,----------,,,,,,0
12412,α13004,ἀπολύουσα,n,----------,,,,,,0
12413,α13005,ἀπολυπραγμόνητος,a,aps---cn2-,ἀπολυπραγμόνητος ἀπολυπραγμόνητος ἀπολυπραγμόνητον,,,,,0
12414,α13006,ἀπολυπράγμων,a,aps---cn3n,ἀπολυπράγμων ἀπολυπράγμων ἀπολυπράγμον,,,,,0
12415,α13007,ἄπολυς,n,----------,,,,,,0
12416,α13008,ἀπολυσίδιον,n,n-s---nn2-,ἀπολυσιδίου,,,,,0
12418,α13010,ἀπόλυσις,n,n-s---fn3v,ἀπολυσέως,,,,,0
12419,α13011,ἀπολυτέον,a,----------,,,,,,0
12420,α13012,ἀπολυτήριον,n,n-s---nn2-,ἀπολυτηρίου,,,,,0
12421,α13013,ἀπολυτικός,a,aps---mn1-,ἀπολυτικός ἀπολυτική ἀπολυτικόν,,,,,0
12422,α13014,ἀπόλυτος,a,aps---cn2-,ἀπόλυτος ἀπόλυτος ἀπόλυτον,,,,,0
12423,α13015,ἀπολυτρόω,v,----------,,,,,,0
12424,α13016,ἀπολύτρωσις,n,n-s---fn3v,ἀπολυτρωσέως,,,,,0
12426,α13018,ἀπολύω,v,----------,,,,/a.po.ly̌ː.ɔː/,,0
12427,α13019,ἀπολυώρητος,a,aps---cn2-,ἀπολυώρητος ἀπολυώρητος ἀπολυώρητον,,,,,0
12428,α13020,ἀπολωβάω,v,----------,,,,,,0
12429,α13021,ἀπολωπίζω,v,----------,,,,,,0
12430,α13022,ἀπολωτίζω,v,----------,,,,,,0
12431,α13023,ἀπολωφάω,v,----------,,,,,,0
12433,α13025,ἀπομαγδαλίς,n,n-s---fn3d,ἀπομαγδαλίδος,,,,,0
12434,α13026,ἀπόμαγμα,n,n-s---nn3t,ἀπομάγματος,,,,,0
12435,α13027,ἀπομαδάω,v,----------,,,,,,0
12436,α13028,ἀπομαδίζω,v,----------,,,,,,0
12437,α13029,ἀπομάζιος,n,----------,,,,,,0
12438,α13030,ἀπομάθημα,n,n-s---nn3t,ἀπομαθήματος,,,,,0
12439,α13031,ἀπομαίνομαι,v,----------,,,,,,0
12441,α13033,ἀπομακτέον,a,----------,,,,,,0
12442,α13034,ἀπομάκτης,n,n-s---mn1e,ἀπομάκτου,,,,,0
12443,α13035,ἀπομάκτρια,n,n-s---fn1s,ἀπομάκτριας,,,,,0
12444,α13036,ἀπόμακτρον,n,n-s---nn2-,ἀπομάκτρου,,,,,0
12445,α13037,ἀπομαλακίζομαι,v,----------,,,,,,0
12396,α12988,ἀπόλογος,n,n-s---mn2-,ἀπολόγου,,,,,0
12449,α13041,ἀπομάντευμα,n,n-s---nn3t,ἀπομαντεύματος,,,,,0
12450,α13042,ἀπομαντεύομαι,v,----------,,,,,,0
12452,α13044,ἀπόμαξις,n,n-s---fn3v,ἀπομαξέως,,,,,0
12453,α13045,ἀπομαραίνω,v,----------,,,,,,0
12454,α13046,ἀπομάρανσις,n,n-s---fn3v,ἀπομαρανσέως,,,,,0
12455,α13047,ἀπομαρτυρέω,v,----------,,,,,,0
12456,α13048,ἀπομαρτύρομαι,v,----------,,,,,,0
12457,α13049,ἀπομάσσω,v,----------,,,,,,0
12458,α13050,ἀπομαστιγόω,v,----------,,,,,,0
12460,α13052,ἀποματαί̈ζω,v,----------,,,,,,0
12461,α13053,ἀπομαύρωσις,n,n-s---fn3v,ἀπομαυρωσέως,,,,,0
12462,α13054,ἀπομάχομαι,v,----------,,,,,,0
12463,α13055,ἀπόμαχος,a,aps---cn2-,ἀπόμαχος ἀπόμαχος ἀπόμαχον,,,,,0
12464,α13056,ἀπομεθίημι,v,----------,,,,,,0
12465,α13057,ἀπομειλίσσομαι,v,----------,,,,,,0
