0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
81182,00509558,a,9,filled with regret or concern; used often to soften an unpleasant statement; 'I'm afraid I won't be able to come'; 'he was afraid he would have to let her go'; 'I'm afraid you're wrong',
81183,00509796,a,9,feeling worry or concern or insecurity; 'She was afraid that I might be embarrassed'; 'terribly afraid of offending someone'; 'I am afraid we have witnessed only the first phase of the conflict',
81184,00510043,a,9,having or showing excessive or compulsive concern with something; 'became more and more haunted by the stupid riddle'; 'was absolutely obsessed with the girl'; 'got no help from his wife who was preoccupied with the children'; 'he was taken up in worry for the old woman',
81185,00510407,a,9,full of anxiety and concern; 'solicitous parents'; 'solicitous about the future',
81186,00510544,a,9,lacking in interest or care or feeling; 'the average American...is unconcerned that his or her plight is the result of a complex of personal and economic and governmental actions...beyond the normal citizen's comprehension and control'; 'blithely unconcerned about his friend's plight',
81187,00511013,a,9,nonchalantly unconcerned; 'a blase attitude about housecleaning',
81188,00511129,a,9,lacking or showing a lack of due concern; 'spoke with blithe ignorance of the true situation',
81189,00511275,a,9,marked by blithe unconcern; 'an ability to interest casual students'; 'showed a casual disregard for cold weather'; 'an utterly insouciant financial policy'; 'an elegantly insouciant manner'; 'drove his car with nonchalant abandon'; 'was polite in a teasing nonchalant manner',
81190,00511630,a,9,showing lack of emotional involvement; 'adopted a degage pose on the arm of the easy chair'- J.S.Perelman; 'she may be detached or even unfeeling but at least she's not hypocritically effusive'; 'an uninvolved bystander',
81191,00511928,a,9,showing no care or concern in attitude or action; 'indifferent to the sufferings of others'; 'indifferent to her plea',
81192,00512104,a,9,expressing much in few words; 'a concise explanation',
81193,00512391,a,9,terse and witty and like a maxim; 'much given to apothegmatic instruction',
81196,00512937,a,9,brief and to the point; effectively cut short; 'a crisp retort'; 'a response so curt as to be almost rude'; 'the laconic reply; `yes''; 'short and terse and easy to understand',
81197,00513190,a,9,having a puzzling terseness; 'a cryptic note',
81199,00513576,a,9,concise and full of meaning; 'welcomed her pithy comments'; 'the peculiarly sardonic and sententious style in which Don Luis composed his epigrams'- Hervey Allen,
81200,00513803,a,9,having the style of a telegram with many short words left out; 'telegraphic economy of words'; 'the strange telegraphic speech of some aphasics',
81201,00514005,a,9,tediously prolonged or tending to speak or write at great length; 'editing a prolix manuscript'; 'a prolix lecturer telling you more than you want to know',
81202,00514357,a,9,lacking conciseness; 'a diffuse historical novel',
81203,00514460,a,9,using or containing too many words; 'long-winded (or windy) speakers'; 'verbose and ineffective instructional methods'; 'newspapers of the day printed long wordy editorials'; 'proceedings were delayed by wordy disputes',
81204,00514773,a,9,(archaic) 'you put me to forget a lady's manners by being so verbal'- Shakespeare,
81205,00514907,a,9,repetition of same sense in different words; '`a true fact' and `a free gift' are pleonastic expressions'; 'the phrase `a beginner who has just started' is tautological'; 'at the risk of being redundant I return to my original proposition'- J.B.Conant,
81206,00515255,a,9,use of more words than required to express an idea; 'a wordy gossipy account of a simple incident'; 'a redundant text crammed with amplifications of the obvious',
81207,00515480,a,9,forming an end or termination; especially putting an end to doubt or question; 'conclusive proof'; 'the evidence is conclusive',
81208,00515736,a,9,capable of convincing or persuading; 'a convincing argument',
81209,00515853,a,9,supplying or being a final or conclusive settlement; 'a definitive verdict'; 'a determinate answer to the problem',
81210,00516038,a,9,not conclusive; not putting an end to doubt or question; 'an inconclusive reply'; 'inconclusive evidence'; 'the inconclusive committee vote',
81211,00516345,a,9,uncertain as a sign or indication; 'the evidence from bacteriologic analysis was equivocal',
81212,00516492,a,9,not leading to a definite ending or result; 'an indeterminate campaign',
81213,00516623,a,9,not final or absolute; 'the decree is nisi and not absolute',
81214,00516734,a,9,brought to completion; 'a consummated transaction',
81215,00516878,a,9,(of a marriage) completed by the first act of sexual intercourse after the ceremony,
81216,00517017,a,9,completed to perfection,
81217,00517096,a,9,not consummated (especially of a marriage); 'an unconsummated marriage can be annulled',
81218,00517243,a,9,(grammar) serving to connect two grammatical constituents of identical construction; '`and' in `John and Mary' or in `John walked and Mary rode' is a coordinating conjunction; and so is `or' in `will you go or stay?'',
81219,00517537,a,9,(grammar) serving to connect a subordinate clause to a main clause; '`when' in `I will come when I can' is a subordinating conjunction',
81220,00517769,a,9,used of words such as relative pronouns and subordinating conjunctions that serve to subordinate sentence constituents; '`that' in `the house that we bought' is a subordinator',
81221,00518004,a,9,being in agreement or harmony; often followed by `with'; 'a place perfectly accordant with man's nature'-Thomas Hardy,
81222,00518267,a,9,(followed by `to') in agreement with or accordant with; 'according to instructions',
81223,00518406,a,9,prepared to agree or consent; 'agreeable to the plan',
81224,00518515,a,9,being of the same opinion,
81225,00518667,a,9,(law) existing by consent; 'a consensual contract',
81226,00518774,a,9,in complete agreement; 'a unanimous decision',
81227,00518922,a,9,not in agreement or harmony; 'views discordant with present-day ideas',
81228,00519085,a,9,not in accord; 'desires at variance with his duty'; 'widely discrepant statements',
81229,00519241,a,9,dissenting (especially dissenting with the majority opinion),
81230,00519381,a,9,reduced to a stronger or more concentrated form; 'condensed milk'; 'concentrated sulfuric acid',
81231,00519583,a,9,expressing the essence of; 'the final boiled-down crux of the matter',
81232,00519710,a,9,pressed into less space; 'compressed gases',
81233,00519810,a,9,not reduced to a stronger or more concentrated form,
81234,00519936,a,9,of printers' type; narrower than usual for a particular height,
81235,00520054,a,9,of printers' type; wider than usual for a particular height,
100704,N0000423,n,10,,
81237,00520361,a,9,capable of contracting or being contracted; 'the contractile wings of an insect',
81238,00520499,a,9,having the opening reduced squeezed,
81239,00520589,a,9,reduced in size by being drawn together; 'the shrunken dress was entirely too tight to wear',
81240,00520745,a,9,increased in extent or size or bulk or scope,
81241,00520898,a,9,made wider or larger in all dimensions; 'a dilated pupil',
81243,00521327,a,9,expanded in scope; 'the enlarged authority of the committee',
81244,00521442,a,9,expanded by (or as if by) gas or air; 'an inflated balloon',
81245,00521574,a,9,having been inflated,
81246,00521666,a,9,collapsed through the release of gas or air,
81247,00521782,a,9,(of a tire) completely or partially deflated,
81248,00521877,a,9,(of an organ or body part) diminished in size or strength as a result of disease or injury or lack of use; 'partial paralysis resulted in an atrophied left arm',
81249,00522115,a,9,(of an organ or body part) excessively enlarged as a result of increased size in the constituent cells; 'hypertrophied myocardial fibers',
81250,00522323,a,9,imposing or depending on or containing a condition; 'conditional acceptance of the terms'; 'lent conditional support'; 'the conditional sale will not be complete until the full purchase price is paid',
81251,00522689,a,9,going counter to the facts (usually as a hypothesis),
81252,00522821,a,9,determined by conditions or circumstances not yet established; 'arms sales contingent on the approval of congress',
81253,00523065,a,9,contingent on something else,
81254,00523173,a,9,under terms not final or fully worked out or agreed upon; 'probationary employees'; 'a provisional government'; 'just a tentative schedule',
81255,00523412,a,9,subject to a proviso; 'a provisory clause',
81256,00523510,a,9,not conditional; 'unconditional surrender',
81257,00523702,a,9,without conditions or limitations; 'a total ban',
81258,00523829,a,9,devoid of any qualifications or disguise or adornment; 'the blunt truth'; 'the crude facts'; 'facing the stark reality of the deadline',
81259,00524038,a,9,not contingent,
81260,00524110,a,9,fixed and absolute and without contingency; 'a vested right',
