nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
148319,L8291578,n,1,a Greek name,
148320,L8293106,n,1,"a forest in Etruria, celebrated for a battle between the Tarquinii and the Romans",
148323,L8296257,n,1,the constellation Cancer,
148331,L8309240,n,1,a title of Minerva,
148335,L8322836,n,1,"one of the largest and richest cities on the south coast of Sicily, near Cape Pachynum",
148336,L8323196,n,1,the name of a centaur,
148338,L8331399,n,1,"an Athenian orator and historian, nephew of Demosthenes",
148339,L8334049,n,1,a celebrated blind soothsayer of Thebes,
148343,L8344337,n,1,a sculptor of Olynthus,
148333,L8313563,n,1,"a rocky promontory on the southern coast of Euboea, where the homeward-bound fleet of the Greeks was wrecked, being misled by Nauplius, king of the island, and father of Palamedes, who had been slain before Troy",2775
148342,L8343068,n,1,"a small river on the east coast of Italy, which formed the boundary between Italy and Cisalpine Gaul",2775
148301,L8254850,n,1,a white color prepared from chalk and glass beads,2104
148325,L8299018,n,1,office of flamen,1565
148293,L8240447,n,1,strength in arms,1838
148298,L8248110,n,1,"an island that rose of itself in the Cretan Sea, now Namfi or Namfio",2775
148326,L8301353,n,1,a Roman praenomen,2792
148296,L8243872,n,1,a Greek poet of Paros,2748
148340,L8334161,n,1,"a village in Boeotia, near Mount Helicon, the birthplace of Hesiod",2775
148285,L8222437,n,1,a people of Pannonia,1696
148292,L8237118,n,1,the capital city of Assyria,2775
148306,L8264851,n,1,a goddess of cattle,1666
148322,L8295261,n,1,a town in Thrace,2775
148297,L8245450,n,1,"a small town in Argolis, near Nemea, where Hercules killed the lion, now Clenia",2775
148324,L8298120,n,1,"a province in Asia, east of the Black Sea, celebrated on account of the golden fleece and Medea",2775
148316,L8281784,n,1,"An ancient town in Etruria, so named from its mythical founder, later called Cortona",2775
148334,L8320100,n,1,"a small island in the Aegean Sea, one of the Cyclades, the birthplace of Apollo and Diana, now Dili",2775
148341,L8335757,n,1,"a small town in Latium, situated on the Via Latina",2775
148321,L8293792,n,1,"a high mountain in Thessaly, near Tempe",2775
148328,L8304440,n,1,a small town in Lydia,2775
148337,L8325349,n,1,"a maritime town in Latium, between Ostia and Lavinium, now Torre Paterno",2775
148327,L8304216,n,1,"a celebrated Spartan general, conqueror of the Athenians",2798
148289,L8232964,n,1,"a city in Mesopotamia, now Nisibin",2775
148290,L8234246,n,1,"a city in Gallia Belgica, on the Rhine, the modern Neuss",2775
148304,L8256769,n,1,"a people of Thrace, on the Strymon",1696
148302,L8254983,n,1,"Ovid, a Roman nomen",2792
148299,L8251191,n,1,"a sort of heretics, so named after the Phrygian town of Pepuza",2775
148307,L8271711,n,1,"a town of Samnium, now the village Telese",2775
148330,L8306781,n,1,"a town in Lycia, near to Caria, at the head of the Glaucus Sinus, now Makri",2775
148309,L8274355,n,1,"a river of Pontus, on which dwelt the Amazons, now Termeh Tchai",2775
148300,L8252782,n,1,"a people of Galatia, whose precise home is unknown",1696
148288,L8230191,n,1,"a mountain-fortress in Sicily, between Selinus and Heraclea, now ruins near Calatabellotta",2775
148329,L8305259,n,1,"a river in Hispania Tarraconensis, now the Turia or Guadalaviar",2775
148344,L8344841,n,1,"a king of Illyria, said to have discovered the herb gentiana",
148355,L8378490,n,1,"king of the Albani, brother of Romulus Silvius",
148357,L8381872,n,1,a Levite,
148360,L8386889,n,1,name of a Roman freedman,
148364,L8398627,n,1,one of the four horses drawing Hades's chariot,
148369,L8411850,n,1,a male proper name,
148371,L8416070,n,1,a mime of the time of Augustus,
148374,L8420147,n,1,"a celebrated Greek painter, contemporary with Parrhasius",
148377,L8427650,n,1,the three-headed monster Cerberus,
148378,L8429567,n,1,"a king of the Isle of Scyros, with whom Achilles concealed himself disguised in female attire, and whose daughter Deidamia bore to the latter Pyrrhus or Neoptolemus",
148379,L8430573,n,1,"a disciple of Socrates and friend of Plato, after whom Plato has named his dialogue on the immortality of the soul",
148385,L8448831,n,1,a centaur killed by Nestor at the marriage of Pirithous,
148387,L8451653,n,1,an Athenian,
148388,L8455360,n,1,a family name in the gens Licinia,
148392,L8460322,n,1,"a son of Priam and Hecaba, priest of the Thymbrean Apollo, who was killed, with his two sons, at the altar by two serpents",
148396,L8464149,n,1,a king of Judea,
148398,L8472145,n,1,"the daughter of Tiresias, a prophetess, and mother of the seer Mopsus",
148365,L8402070,n,1,"a celebrated Greek historian from Megalopolis, in Arcadia, the son of Lycortas and friend of the younger Scipio Africanus",2748
148401,L8488623,n,1,"the capital city of Greater Armenia, built by Tigranes during the Mithridatic war",2775
148350,L8363790,n,1,"signer of an accusation, joint prosecutor",1802
148389,L8456286,n,1,a water-vessel used in sacrifices,1565
148384,L8448573,n,1,"a fountain in Boeotia, on Mount Helicon, sacred to the Muses, and giving poetical inspiration",1666
148391,L8458834,n,1,"a little river in Elis, rising on Mount Lapithus, now Mauropotamo",2775
148390,L8457509,n,1,a town of the Bruttii,2775
148361,L8392119,n,1,"a city in Apulia, earlier called Argyripa, now Arpa",2775
148386,L8449210,n,1,"a mountain in Laconia, east of Sparta",2775
148368,L8411325,n,1,a people of Hispania Tarraconensis,1696
148370,L8413214,n,1,a people of Latium,1696
148393,L8462170,n,1,a town of Macedonia,2775
148347,L8352386,n,1,"one of the twelve Ionian towns in Lydia, situated near the sea, and renowned for its cavalry",2775
148345,L8350258,n,1,"a city in Liguria, now Tortona",2775
148395,L8463400,n,1,a river in Scythia,2775
148363,L8395958,n,1,"a city in the province of Gaul, now Bram",2775
148348,L8357590,n,1,a district of Macedonia,2775
148376,L8426287,n,1,"a celebrated Greek historian of Cumae, a disciple of Isocrates",2748
148354,L8378440,n,1,"the province of Epirus, in the north of Greece, now part of Albania",2775
148380,L8443938,n,1,"a town in Cilicia, near Mount Amanus",2775
148349,L8358324,n,1,"the son of Venus, the god of love",1666
148400,L8484813,n,1,"a small town of Latium, near Rome, on the road to Ostia",2775
148352,L8370913,n,1,"a city of the Hernici, in Latium, situated on the Via Latina, now Frosinone",2775
148366,L8405470,n,1,"a city in Macedonia, on the border of Thessaly",2775
148372,L8416137,n,1,"daughter of Aesculapius, and goddess of health",1666
148359,L8385946,n,1,an island opposite Velia,2775
148382,L8445580,n,1,"a city and mountain in Boeotia, with a temple of Pallas",2775
148358,L8384402,n,1,a city in Sarmatia,2775
148346,L8351660,n,1,"the country between Boeotia and Aetolia, in which were the mountains of Parnassus and Helicon, the Castalian spring, and the river Cephisus",2775
148373,L8418489,n,1,"a city of Pallene, afterwards called Cassandrea, the modern Pinaka",2775
148397,L8469800,n,1,a large and fruitful island in Northern Europe,2775
148362,L8395742,n,1,"a river of Upper Italy, near Mutina, flowing into the Po, now Panaro",2775
148356,L8379922,n,1,a mountain-tribe in Asia,2775
148375,L8422607,n,1,"a small town on the coast of Campania near Pompeii, celebrated for its medicinal springs",2775
148394,L8463060,n,1,"a town in Phrygia Major, famous for its marble, now Afioum Karahissar",2775
148399,L8483294,n,1,a town of Chalcidice in Macedonia,2775
148351,L8365106,n,1,"a people of Ethiopia who dwelt in caves, the Troglodytes",1696
148381,L8445001,n,1,a Roman magistrate who had the charge of assigning citizens classes according to wealth and authority,1820
148367,L8411138,n,1,name of a Roman gens,2798
148383,L8447909,n,1,three-day fever,2232
148402,L8489940,n,1,"the Cabiri, deities worshipped by the Pelasgi as tutelary geniain whose honor mysteries were celebrated at Lemnos and Samothrace",
148405,L8502482,n,1,Macedonians,
148406,L8506216,n,1,"a celebrated painter and sculptor, a contemporary of Praxiteles",
148409,L8512718,n,1,"a historian in Syracuse in the reign of the tyrant Dionysius, an imitator of Thucydides",
148411,L8515827,n,1,a Syrophoenician,
148412,L8516057,n,1,a sort of interpreters of prodigies in Sicily,
148413,L8517827,n,1,the name of a girl,
148414,L8518073,n,1,"the Pygmies, a fabulous dwarfish race of antiquity, especially in Africa",
148417,L8524852,n,1,"a famous sculptor, contemporary with Pericles, who made the celebrated statue of Jupiter Olympius",
148423,L8539203,n,1,a king of the Getoe,
148424,L8540054,n,1,"the political and religious assembly of the confederated Greek States at Thermopyloe, later at Delphi, the Amphictyons",
148425,L8542453,n,1,"the southwestern portion of Canaan, Philistia",
148431,L8551664,n,1,the Bacchantes,
148434,L8559112,n,1,daughter of Phorcus,
148435,L8559235,n,1,"a promontory of Argolis, on the Saronic Gulf",
148444,L8580180,n,1,"a forest and marsh near Argos, through which flowed a stream of the same name",
148446,L8588557,n,1,a Lapith hero of Thessaly,
148447,L8589904,n,1,title of a book by Democritus,
148448,L8591258,n,1,the father of Hippomedon,
148450,L8592782,n,1,inhabitant of Longula,
148452,L8593690,n,1,"a king of Thessaly, the father of Erisichthon",
148454,L8596875,n,1,someone fond of Fescennine verses,
148456,L8601059,n,1,"one of the pillars of Hercules in Hispania Baetica, now Rock of Gibraltar",
148459,L8608536,n,1,the first king of the Parthians,
148419,L8527197,n,1,"one of the most distinguished towns in Coele-Syria, on the Orontes, in the Middle Ages, Afamiah or Famit, now Famieh",2775
148441,L8573853,n,1,the place where a chorus was trained and practised,"1666,2551"
148418,L8526882,n,1,a small place in Attica,2775
148439,L8571891,n,1,"a town built by the Argives, in Pamphylia, on the Eurymedon, now Minugat",2775
148429,L8551194,n,1,"the star-queen, a Phoenician goddess",1666
148408,L8509898,n,1,"a large island, three days' sail from the coast of Scythia, called by Pythias Basilia",2775
148443,L8575685,n,1,a town in Bruttium,2775
148415,L8518404,n,1,a cognomen in the Calpurnian family,2792
148453,L8594850,n,1,"a people of Macedonia, emigrants from Asia Minor",1696
148403,L8492080,n,1,a Roman cognomen in the gens Papiria,2792
148442,L8574692,n,1,"an island off the east coast of Africa, with a town of the same name, now Kerkein or Kerkena",2775
148436,L8562563,n,1,"the inhabitants of Cios, a town in Bithynia",2775
148440,L8572106,n,1,"a river of Sicily, which divides into two branches, of which the northern one is now called Fiume Grande, and the southern Fiume Salso",2775
148410,L8513208,n,1,a city in Great Phrygia,2775
148426,L8543556,n,1,"a town of Samnium, in the territory of the Frentani, near Teanum, now Larino",2775
148455,L8597742,n,1,"a river in Achaia, now Mana",2775
148451,L8593567,n,1,"a sea-coast town in Elis, south of Pylos",2775
148430,L8551287,n,1,an island near Chios,2775
148445,L8585804,n,1,"a nymph, daughter of Hippodamas, who was changed into the island of the same name",2775
148433,L8554465,n,1,"a town of Etruria, now Rosello",2775
148416,L8521867,n,1,"a people of Aquitania, about the mouth of the Garumna, opposite to Burdigala, now Saintes, in the Départ",1696
148432,L8554039,n,1,"a small island near the promontory Acroceraunia, on the coast of Illyria, now Saseno",2775
148421,L8536380,n,1,"a fabled people of India, with feet like serpents",1696
148460,L8611236,n,1,"an ancient mountain-city in Latium, near the Pomptine Marshes, celebrated for its excellent wine, now Sezza",2775
148427,L8548519,n,1,a mountain in Thessaly,2775
148428,L8549861,n,1,"a people of India, north of the Ganges",1696
148422,L8538722,n,1,a people of Galatia,1696
148457,L8601354,n,1,"an ancient town of Latium on both sides of the Anio, now Tivoli",2775
148407,L8506568,n,1,"a Greek historian of Sicily, under Agathocles",2748
148420,L8533995,n,1,"a very ancient town in Argolis, where Hercules was brought up",2775
148438,L8567039,n,1,"a city in Gallia Narbonensis, now Toulouse",2775
148449,L8592658,n,1,"a town of Lower Moesia, on the Ister",2775
148437,L8566419,n,1,the people of the Voltinian tribe,1696
148404,L8500012,n,1,the ratio of a half to the whole,1918
148463,L8624196,n,1,"a son of Laomedon, king of Troy, husband of Hecuba, and father of Hector, Helenus, Paris, Deiphobus, Polyxena, Cassandra, etc.",
148464,L8627373,n,1,a celebrated statuary,
148466,L8631077,n,1,"son of Dryas, king of the Edones, who prohibited the worship of Bacchus to his subjects, and ordered all the vines to be destroyed",
148467,L8631400,n,1,the famous friend of Odysseus,
148468,L8631514,n,1,"Philip, the name of several kings of Macedonia, the most celebrated of whom was the son of Amyntas, and father of Alexander the Great",
148471,L8636570,n,1,a famous Greek painter of Heraclea,
148472,L8637750,n,1,"a tyrant of Sicyon, overthrown by Aratus",
148473,L8639688,n,1,a grammarian of Rome,
148474,L8643275,n,1,a Thracian people on the Strymon,
148475,L8656359,n,1,"a Greek orator, imitator of Lysias",
148476,L8657018,n,1,"a king of Gordium, in Phrygia Major, famous for the inextricable knot on his chariot, which Alexander the Great cut with his sword, Curt",
148477,L8657419,n,1,"son of Atreus, brother of Agamemnon, and husband of Helen, who eloped from him with Paris",
148478,L8666053,n,1,"daughter of Aeolus, who, living in incest with her brother Macareus, bore a son to him, and was forced by her father to kill herself",
148479,L8667700,n,1,"a celebrated sophist of Abdera, a disciple of Democritus, and an older contemporary of Socrates",
148480,L8669171,n,1,the father of Meriones,
148482,L8669690,n,1,"a daughter of Cecrops, beloved by Mercury",
148485,L8677774,n,1,"a people in Hispania Tarraconensis, the south-western neighbors of the Celtiberi",
148493,L8686121,n,1,nom,
148498,L8697817,n,1,a giant,
148499,L8699660,n,1,"daughter of Desmon or Aeolus, the mother by Neptune of Boeotus and Aeolus, the founders of Boeotia and Aeolia",
148500,L8704392,n,1,"the daughter of Icarius, who hung herself through grief for her father's death, and was rewarded for it by being translated to the sky as the constellation Virgo",
148502,L8706085,n,1,the title of a comedy by Menander,
148503,L8707382,n,1,a Greek proper name,
148505,L8708480,n,1,"the extreme south-eastern part of Italy, in the oldest geography of that country",
148508,L8718012,n,1,a fabulous king of Alba,
148512,L8724447,n,1,"the son of Apollo and Babylon, represented as the inventor of the medical art",
148514,L8729186,n,1,the name of several Latin grammarians,
148462,L8621311,n,1,"deacon-elect, one who is to be made a deacon",1658
148490,L8683470,n,1,"son of Jupiter and Callisto, the progenitor of the Arcadians, after his death placed as a constellation in heaven",2775
