11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
68122,ξ00120,ξένος,a,aps---mn1-,ξένος ξένη ξένον,ξένος,0
68123,ξ00121,ξενοσσόος,a,aps---cn2-,ξενοσσόος ξενοσσόος ξενοσσόον,ξενοσσόος,0
68124,ξ00122,ξενόστασις,n,n-s---fn3v,ξενοστασέως,ξενόστασις,0
68125,ξ00123,ξενόστομος,a,aps---cn2-,ξενόστομος ξενόστομος ξενόστομον,ξενόστομος,0
68126,ξ00124,ξενοσύνη,n,n-s---fn1e,ξενοσύνης,ξενοσύνη,0
68127,ξ00125,ξενοτάφιον,n,n-s---nn2-,ξενοταφίου,ξενοτάφιον,0
68129,ξ00127,ξενότροπος,a,aps---cn2-,ξενότροπος ξενότροπος ξενότροπον,ξενότροπος,0
68130,ξ00128,ξενοτροφέω,v,----------,,ξενοτροφέω,0
68131,ξ00129,ξενοτροφία,n,n-s---fn1l,ξενοτροφίας,ξενοτροφία,0
68132,ξ00130,ξενοφονέω,v,----------,,ξενοφονέω,0
68133,ξ00131,ξενοφονία,n,n-s---fn1l,ξενοφονίας,ξενοφονία,0
68135,ξ00133,ξενοφυής,a,aps---cn5s,ξενοφυής ξενοφυής ξενοφυές,ξενοφυής,0
68136,ξ00134,ξενοφύλαξ,n,n-s---mn3e,ξενοφύλακος,ξενοφύλαξ,0
68137,,Ξενοφῶν,n,,,Ξενοφῶν,0
68138,ξ00135,ξενοφωνέω,v,----------,,ξενοφωνέω,0
68140,ξ00137,ξενόφωνος,a,aps---cn2-,ξενόφωνος ξενόφωνος ξενόφωνον,ξενόφωνος,0
68141,ξ00138,ξενόω,v,----------,,ξενόω,0
68142,ξ00139,ξενύδριον,n,n-s---nn2-,ξενυδρίου,ξενύδριον,0
68143,ξ00140,ξενύλλιον,n,n-s---nn2-,ξενυλλίου,ξενύλλιον,0
68144,ξ00141,ξενών,n,n-s---mn3n,ξενῶνος,ξενών,0
68145,ξ00142,ξένωσις,n,n-s---fn3v,ξενωσέως,ξένωσις,0
68095,ξ00091,ξενοδοχεῖον,n,n-s---nn2-,ξενοδοχείου,ξενοδοχεῖον,0
68149,ξ00146,ξέσμα,n,n-s---nn3t,ξέσματος,ξέσμα,0
68150,ξ00147,ξεσμός,n,----------,,ξεσμός,0
68151,ξ00148,ξέσσε,n,----------,,ξέσσε,0
68152,ξ00149,ξεστασία,n,n-s---fn1l,ξεστασίας,ξεστασία,0
68153,ξ00150,ξέστης,n,n-s---mn1e,ξέστου,ξέστης,0
68155,ξ00152,ξεστίζω,v,----------,,ξεστίζω,0
68157,ξ00154,ξεστός,a,aps---mn1-,ξεστός ξεστή ξεστόν,ξεστός,0
68158,ξ00155,ξεστουργία,n,n-s---fn1l,ξεστουργίας,ξεστουργία,0
68159,ξ00156,ξέστριξ,n,----------,,ξέστριξ,0
68160,ξ00157,ξέω,v,----------,,ξέω,0
68161,ξ00158,ξηνός,n,----------,,ξηνός,0
68162,ξ00159,ξηραίνω,v,----------,,ξηραίνω,0
68165,ξ00162,ξηραμπέλινος,a,aps---mn1-,ξηραμπέλινος ξηραμπελίνη ξηραμπέλινον,ξηραμπέλινος,0
68166,ξ00163,ξήρανσις,n,n-s---fn3v,ξηρανσέως,ξήρανσις,0
68167,ξ00164,ξηραντέον,a,----------,,ξηραντέον,0
68168,ξ00165,ξηραντικός,a,aps---mn1-,ξηραντικός ξηραντική ξηραντικόν,ξηραντικός,0
68169,ξ00166,ξηρασία,n,n-s---fn1l,ξηρασίας,ξηρασία,0
68170,ξ00167,ξήρασις,n,----------,,ξήρασις,0
68171,ξ00168,ξηρασμός,n,----------,,ξηρασμός,0
68173,ξ00170,ξηρίον,n,n-s---nn2-,ξηρίου,ξηρίον,0
68174,ξ00251,ξῆρις,n,----------,,ξῆρις,0
68177,ξ00173,ξηρόβηξ,n,----------,,ξηρόβηξ,0
68179,ξ00175,ξηροκακοζηλία,n,n-s---fn1l,ξηροκακοζηλίας,ξηροκακοζηλία,0
68180,ξ00176,ξηρόκαρπος,a,aps---cn2-,ξηρόκαρπος ξηρόκαρπος ξηρόκαρπον,ξηρόκαρπος,0
68181,ξ00177,ξηροκαρυόφυλλον,n,----------,,ξηροκαρυόφυλλον,0
68182,ξ00178,ξηροκέφαλος,a,aps---cn2-,ξηροκέφαλος ξηροκέφαλος ξηροκέφαλον,ξηροκέφαλος,0
68183,ξ00179,ξηροκολλούριον,n,n-s---nn2-,ξηροκολλουρίου,ξηροκολλούριον,0
68184,ξ00180,ξηρόκοπτον,n,n-s---nn2-,ξηροκόπτου,ξηρόκοπτον,0
68185,ξ00181,ξηρολογία,n,n-s---fn1l,ξηρολογίας,ξηρολογία,0
68186,ξ00182,ξηρολουσία,n,n-s---fn1l,ξηρολουσίας,ξηρολουσία,0
68187,ξ00183,ξηρολουτρέω,v,----------,,ξηρολουτρέω,0
68190,ξ00186,ξηροποιέω,v,----------,,ξηροποιέω,0
68191,ξ00187,ξηροποιός,a,aps---cn2-,ξηροποιός ξηροποιός ξηροποιόν,ξηροποιός,0
68192,ξ00188,ξηροπόταμος,n,----------,,ξηροπόταμος,0
68193,ξ00189,ξηροπυρία,n,n-s---fn1l,ξηροπυρίας,ξηροπυρία,0
68194,ξ00190,ξηροπυρίτας,n,----------,,ξηροπυρίτας,0
68195,ξ00191,ξηρός,a,aps---mn1-,ξηρός ξηρά ξηρόν,ξηρός,0
68197,ξ00193,ξηροσμύρνη,n,n-s---fn1e,ξηροσμύρνης,ξηροσμύρνη,0
68198,ξ00194,ξηροτήγανον,n,n-s---nn2-,ξηροτηγάνου,ξηροτήγανον,0
68199,ξ00195,ξηρότης,n,n-s---fn3t,ξηρότητος,ξηρότης,0
68200,ξ00196,ξηροτριβέω,v,----------,,ξηροτριβέω,0
68148,ξ00145,ξέσις,n,n-s---fn3v,ξέσεως,ξέσις,0
68203,ξ00199,ξηροφαγέω,v,----------,,ξηροφαγέω,0
68205,ξ00201,ξηροφθαλμία,n,n-s---fn1l,ξηροφθαλμίας,ξηροφθαλμία,0
68207,ξ00203,ξηρόφορτον,n,n-s---nn2-,ξηροφόρτου,ξηρόφορτον,0
68208,ξ00204,ξηρόφρυκτον,n,n-s---nn2-,ξηροφρύκτου,ξηρόφρυκτον,0
68209,ξ00205,ξηρόφωνος,a,aps---cn2-,ξηρόφωνος ξηρόφωνος ξηρόφωνον,ξηρόφωνος,0
68210,ξ00206,ξηροχειμάρρους,n,----------,,ξηροχειμάρρους,0
68211,ξ00207,ξηρώδης,a,aps---cn3s,ξηρώδης ξηρώδης ξηρώ͂δες,ξηρώδης,0
68212,ξ00002,ξῖ,n,n-s---nn--,,ξῖ,0
68213,ξ00208,ξίμβρα,n,n-s---fn1l,ξίμβρας,ξίμβρα,0
68214,ξ00209,ξιπομάκαιρα,n,----------,,ξιπομάκαιρα,0
68215,ξ00210,ξιρίς,n,----------,,ξιρίς,0
68216,ξ00211,ξιφήν,n,n-s---mn3n,ξιφῆνος,ξιφήν,0
68219,ξ00214,ξιφηφορία,n,n-s---fn1l,ξιφηφορίας,ξιφηφορία,0
68220,ξ00215,ξιφηφόρος,a,aps---cn2-,ξιφηφόρος ξιφηφόρος ξιφηφόρον,ξιφηφόρος,0
68221,ξ00216,ξιφίας,n,n-s---mn1a,ξιφίου,ξιφίας,0
68222,ξ00217,ξιφίδιον,n,n-s---nn2-,ξιφιδίου,ξιφίδιον,0
68223,ξ00218,ξιφίζω,v,----------,,ξιφίζω,0
68224,ξ00219,ξιφίνδα,r,----------,,ξιφίνδα,0
68225,ξ00220,ξίφιον,n,n-s---nn2-,ξιφίου,ξίφιον,0
68226,ξ00221,ξίφιος,n,n-s---mn2-,ξιφίου,ξίφιος,0
68228,ξ00223,ξιφισμός,n,----------,,ξιφισμός,0
68230,ξ00225,ξιφιστής,n,n-s---mn1e,ξιφιστού,ξιφιστής,0
68231,ξ00226,ξιφιστύς,n,n-s---fn3v,ξιφιστύος,ξιφιστύς,0
68234,ξ00229,ξιφοειδής,a,aps---cn5s,ξιφοειδής ξιφοειδής ξιφοειδές,ξιφοειδής,0
68235,ξ00230,ξιφοθήκη,n,n-s---fn1e,ξιφοθήκης,ξιφοθήκη,0
68236,ξ00231,ξιφοκτονέω,v,----------,,ξιφοκτονέω,0
68237,ξ00232,ξιφοκτόνος,a,aps---cn2-,ξιφοκτόνος ξιφοκτόνος ξιφοκτόνον,ξιφοκτόνος,0
68238,ξ00233,ξιφομάχαιρα,n,n-s---fn1s,ξιφομάχαιρας,ξιφομάχαιρα,0
68239,ξ00234,ξιφοποιός,n,----------,,ξιφοποιός,0
68240,ξ00235,ξίφος,n,n-s---nn3v,ξίφεος,ξίφος,0
68241,ξ00236,ξιφουλκία,n,n-s---fn1l,ξιφουλκίας,ξιφουλκία,0
68243,ξ00238,ξιφουργός,n,----------,,ξιφουργός,0
68244,ξ00239,ξιφύδριον,n,n-s---nn2-,ξιφυδρίου,ξιφύδριον,0
68245,ξ00240,ξοανηφόρος,n,n-s---mn2-,ξοανηφόρου,ξοανηφόρος,0
68246,ξ00241,ξοάνιον,n,n-s---nn2-,ξοανίου,ξοάνιον,0
68249,ξ00244,ξοανουργία,n,n-s---fn1l,ξοανουργίας,ξοανουργία,0
68250,ξ00246,ξοί̈διον,n,n-s---nn2-,ξοϊδίου,ξοί̈διον,0
68251,ξ00247,ξοί̈ς,n,----------,,ξοί̈ς,0
68252,ξ00248,ξοός,n,----------,,ξοός,0
68254,ξ00250,ξουθός,a,aps---mn1-,ξουθός ξουθή ξουθόν,ξουθός,0
68255,ξ00245,ξοῦθρος,n,n-s---mn2-,ξούθρου,ξοῦθρος,0
68202,ξ00198,ξηροτροφικόν,n,----------,,ξηροτροφικόν,0
68258,ξ00254,ξυγγ,n,----------,,ξυγγ,0
68259,ξ00255,ξυζανει,n,----------,,ξυζανει,0
68260,ξ00256,ξυήλη,n,n-s---fn1e,ξυήλης,ξυήλη,0
68262,ξ00258,ξυλαλόη,n,n-s---fn1e,ξυλαλόης,ξυλαλόη,0
68263,ξ00259,ξυλαμάω,v,----------,,ξυλαμάω,0
68264,ξ00260,ξυλαμή,n,n-s---fn1e,ξυλαμῆς,ξυλαμή,0
68265,ξ00261,ξυλάμησις,n,n-s---fn3v,ξυλαμησέως,ξυλάμησις,0
68266,ξ00262,ξυλαμητής,n,n-s---mn1e,ξυλαμητού,ξυλαμητής,0
68267,ξ00263,ξυλάνηθον,n,n-s---nn2-,ξυλανήθου,ξυλάνηθον,0
68268,ξ00264,ξυλάριον,n,n-s---nn2-,ξυλαρίου,ξυλάριον,0
68269,ξ00265,ξυλάφιον,n,n-s---nn2-,ξυλαφίου,ξυλάφιον,0
68270,ξ00266,ξυλεία,n,n-s---fn1l,ξυλείας,ξυλεία,0
68271,ξ00267,ξυλεύς,n,n-s---mn3v,ξυλέως,ξυλεύς,0
68272,ξ00268,ξυλεύω,v,----------,,ξυλεύω,0
68274,ξ00270,ξυληγέω,v,----------,,ξυληγέω,0
68276,ξ00272,ξυληρός,a,----------,,ξυληρός,0
68278,ξ00274,ξυλίζομαι,v,----------,,ξυλίζομαι,0
68279,ξ00275,ξυλικός,a,aps---mn1-,ξυλικός ξυλική ξυλικόν,ξυλικός,0
68280,ξ00276,ξύλινος,a,aps---mn1-,ξύλινος ξυλίνη ξύλινον,ξύλινος,0
68281,ξ00277,ξύλιον,n,n-s---nn2-,ξυλίου,ξύλιον,0
68282,ξ00278,ξυλισμός,n,----------,,ξυλισμός,0
68283,ξ00279,ξυλιστής,n,n-s---mn1e,ξυλιστού,ξυλιστής,0
68284,ξ00280,ξυλίτης,n,n-s---cn1e,ξυλίτου,ξυλίτης,0
68285,ξ00281,ξυλλ,n,----------,,ξυλλ,0
68286,ξ00282,ξυλλείομαι,v,----------,,ξυλλείομαι,0
68289,ξ00285,ξυλόβολον,n,n-s---nn2-,ξυλοβόλου,ξυλόβολον,0
68290,ξ00286,ξυλόγλυκον,n,n-s---nn2-,ξυλογλύκου,ξυλόγλυκον,0
68292,ξ00288,ξυλογραφέομαι,v,----------,,ξυλογραφέομαι,0
68293,ξ00289,ξυλοδωνίη,n,----------,,ξυλοδωνίη,0
68295,ξ00291,ξυλοεργός,n,----------,,ξυλοεργός,0
68296,ξ00292,ξυλοθήκη,n,n-s---fn1e,ξυλοθήκης,ξυλοθήκη,0
68297,ξ00293,ξυλοκάνθηλα,n,n-p---nn2-,ξυλοκανθήλων,ξυλοκάνθηλα,0
68298,ξ00294,ξυλοκανθήλια,n,n-p---nn2-,ξυλοκανθηλίων,ξυλοκανθήλια,0
68299,ξ00295,ξυλοκάρπασον,n,n-s---nn2-,ξυλοκαρπάσου,ξυλοκάρπασον,0
68300,ξ00296,ξυλοκάρυον,n,n-s---nn2-,ξυλοκαρύου,ξυλοκάρυον,0
68302,ξ00298,ξυλοκασία,n,n-s---fn1l,ξυλοκασίας,ξυλοκασία,0
68305,ξ00301,ξυλόκερκος,n,n-s---mn2-,ξυλοκέρκου,ξυλόκερκος,0
68306,ξ00302,ξυλοκιννάμωμον,n,n-s---nn2-,ξυλοκινναμώμου,ξυλοκιννάμωμον,0
68307,ξ00303,ξυλόκοκκον,n,n-s---nn2-,ξυλοκόκκου,ξυλόκοκκον,0
68308,ξ00304,ξυλοκόλλα,n,n-s---fn1l,ξυλοκόλλας,ξυλοκόλλα,0
68309,ξ00305,ξυλοκοπέω,v,----------,,ξυλοκοπέω,0
68310,ξ00306,ξυλοκοπία,n,n-s---fn1l,ξυλοκοπίας,ξυλοκοπία,0
68257,ξ00003,ξῦ,n,----------,,ξῦ,0
68313,ξ00309,ξυλοκύμβη,n,n-s---fn1e,ξυλοκύμβης,ξυλοκύμβη,0
68315,ξ00311,ξυλολεπής,a,aps---cn5s,ξυλολεπής ξυλολεπής ξυλολεπές,ξυλολεπής,0
68316,ξ00312,ξυλολογεία,n,n-s---fn1l,ξυλολογείας,ξυλολογεία,0
68317,ξ00313,ξυλολυχνοῦχος,n,n-s---mn2-,ξυλολυχνούχου,ξυλολυχνοῦχος,0
68318,ξ00314,ξυλόλωτος,n,n-s---mn2-,ξυλολώτου,ξυλόλωτος,0
68319,ξ00315,ξυλόμακερ,n,n-s---nn--,-,ξυλόμακερ,0
68320,ξ00316,ξυλομετρέω,v,----------,,ξυλομετρέω,0
68324,ξ00320,ξυλομυρσίνη,n,n-s---fn1e,ξυλομυρσίνης,ξυλομυρσίνη,0
68325,ξ00322,ξύλον,n,n-s---nn2-,,ξύλον,0
68326,ξ00323,ξυλοναί̈σκιον,n,n-s---nn2-,ξυλοναϊσκίου,ξυλοναί̈σκιον,0
68327,ξ00324,ξυλόξεσις,n,n-s---fn3v,ξυλοξεσέως,ξυλόξεσις,0
68328,ξ00325,ξυλοπαγής,a,aps---cn5s,ξυλοπαγής ξυλοπαγής ξυλοπαγές,ξυλοπαγής,0
68329,ξ00326,ξυλοπάκτων,n,n-s---mn3n,ξυλοπάκτωνος,ξυλοπάκτων,0
68330,ξ00327,ξυλοπέδη,n,n-s---fn1e,ξυλοπέδης,ξυλοπέδη,0
68332,ξ00329,ξυλοπόδης,n,n-s---mn1e,ξυλοπόδου,ξυλοπόδης,0
68333,ξ00330,ξυλοποιός,a,aps---cn2-,ξυλοποιός ξυλοποιός ξυλοποιόν,ξυλοποιός,0
68334,ξ00331,ξυλοπριστικὸς,n,----------,,ξυλοπριστικὸς,0
68335,ξ00332,ξυλοπύλιον,n,n-s---nn2-,ξυλοπυλίου,ξυλοπύλιον,0
68336,ξ00333,ξυλοπυρία,n,n-s---fn1l,ξυλοπυρίας,ξυλοπυρία,0
68339,ξ00336,ξυλοπώλιον,n,n-s---nn2-,ξυλοπωλίου,ξυλοπώλιον,0
68340,ξ00337,ξυλοσπόγγιον,n,n-s---nn2-,ξυλοσπογγίου,ξυλοσπόγγιον,0
68342,ξ00339,ξυλόστομος,a,aps---cn2-,ξυλόστομος ξυλόστομος ξυλόστομον,ξυλόστομος,0
68343,ξ00340,ξυλοσχίστης,n,n-s---mn1e,ξυλοσχίστου,ξυλοσχίστης,0
68344,ξ00341,ξυλοτομία,n,n-s---fn1l,ξυλοτομίας,ξυλοτομία,0
68345,ξ00342,ξυλοτόμος,n,n-s---mn2-,ξυλοτόμου,ξυλοτόμος,0
68346,ξ00343,ξυλοτρόφος,a,aps---cn2-,ξυλοτρόφος ξυλοτρόφος ξυλοτρόφον,ξυλοτρόφος,0
68347,ξ00344,ξυλοτρώκτης,n,n-s---mn1e,ξυλοτρώκτου,ξυλοτρώκτης,0
68348,ξ00345,ξυλουργέω,v,----------,,ξυλουργέω,0
68350,ξ00347,ξυλουργία,n,n-s---fn1l,ξυλουργίας,ξυλουργία,0
68352,ξ00349,ξυλουργός,n,----------,,ξυλουργός,0
68353,ξ00350,ξυλοφάγος,a,aps---cn2-,ξυλοφάγος ξυλοφάγος ξυλοφάγον,ξυλοφάγος,0
68354,ξ00351,ξυλοφανής,a,aps---cn5s,ξυλοφανής ξυλοφανής ξυλοφανές,ξυλοφανής,0
68355,ξ00352,ξυλοφθόρον,n,n-s---nn2-,ξυλοφθόρου,ξυλοφθόρον,0
68356,ξ00353,ξυλοφορέω,v,----------,,ξυλοφορέω,0
68357,ξ00354,ξυλοφορία,n,n-s---fn1l,ξυλοφορίας,ξυλοφορία,0
68359,ξ00356,ξυλοφόρος,a,aps---cn2-,ξυλοφόρος ξυλοφόρος ξυλοφόρον,ξυλοφόρος,0
68360,ξ00357,ξυλόφρακτος,a,aps---cn2-,ξυλόφρακτος ξυλόφρακτος ξυλόφρακτον,ξυλόφρακτος,0
68312,ξ00308,ξυλοκράμβη,n,n-s---fn1e,ξυλοκράμβης,ξυλοκράμβη,0
68363,ξ00360,ξύλοχος,n,----------,,ξύλοχος,0
68364,ξ00361,ξυλόω,v,----------,,ξυλόω,0
68368,ξ00365,ξυλών,n,n-s---mn3n,ξυλῶνος,ξυλών,0
68369,ξ00366,ξυλωνία,n,n-s---fn1l,ξυλωνίας,ξυλωνία,0
68370,ξ00367,ξυλώροφον,n,n-s---nn2-,ξυλωρόφου,ξυλώροφον,0
68371,ξ00368,ξύλωσις,n,n-s---fn3v,ξυλωσέως,ξύλωσις,0
68372,ξ00369,ξυμμ,n,----------,,ξυμμ,0
68373,ξ00370,ξύν,n,----------,,ξύν,0
68374,ξ00372,ξυνάν,n,----------,,ξυνάν,0
68375,ξ00374,ξυνεείκοσι,r,----------,,ξυνεείκοσι,0
68376,ξ00375,ξυνέων,n,----------,,ξυνέων,0
68378,ξ00377,ξύνημα,n,n-s---nn3t,ξυνήματος,ξύνημα,0
68379,ξ00378,ξυνήων,n,n-s---mn3n,ξυνήονος,ξυνήων,0
68380,ξ00373,ξυνάν,n,----------,,ξυνάν,0
68381,ξ00379,ξύνιε,n,----------,,ξύνιε,0
68382,ξ00001,ξ,n,n-s---mn3r,ῆρος,ξ,0
68383,ξ00380,ξυνός,a,aps---mn1-,ξυνός ξυνή ξυνόν,ξυνός,0
68386,ξ00383,ξυνόω,v,----------,,ξυνόω,0
68387,ξ00384,ξυνών,n,----------,,ξυνών,0
68388,ξ00385,ξυνωνία,n,n-s---fn1l,ξυνωνίας,ξυνωνία,0
68389,ξ00386,ξυνωνός,n,----------,,ξυνωνός,0
68390,ξ00387,ξυνωρίς,n,n-s---fn3d,ξυνωρίδος,ξυνωρίς,0
68392,ξ00389,ξυρέω,v,----------,,ξυρέω,0
68393,ξ00390,ξυρήκης,a,aps---cn3s,ξυρήκης ξυρήκης ξυρή͂κες,ξυρήκης,0
68395,ξ00392,ξύρησις,n,n-s---fn3v,ξυρησέως,ξύρησις,0
68396,ξ00393,ξυρησμός,n,----------,,ξυρησμός,0
68397,ξ00394,ξυρητής,n,n-s---mn1e,ξυρητού,ξυρητής,0
