40,προγεωργός,n,----------,,,,,,0
86309,π13357,πρόσταξις,n,n-s---fn3v,προσταξέως,,,/prós.tak.sis/,,0
86327,π13375,προστάτρια,n,n-s---fn1s,προστάτριας,,,,,0
86332,π13380,προστεγαστήρ,n,n-s---mn3r,προστεγαστῆρος,,,,,0
86343,π13391,προστέμνω,v,----------,,,,,,0
86348,π13396,πρόστερνος,a,aps---cn2-,πρόστερνος πρόστερνος πρόστερνον,,,,,0
86353,π13401,προστηθίδιος,a,aps---cn2-,προστηθίδιος προστηθίδιος προστηθίδιον,,,,,0
86369,π13417,προστοιχειόω,v,----------,,,,,,0
86377,π13426,προστρατεύω,v,----------,,,,,,0
86384,π13433,προστρίβω,v,----------,,,,,,0
86387,π13436,προστρόπαιος,a,aps---cn2-,προστρόπαιος προστρόπαιος προστρόπαιον,,,,,0
86399,π13448,προστυπής,a,aps---cn5s,προστυπής προστυπής προστυπές,,,,,0
86409,π13457,προσύγκειμαι,v,----------,,,,,,0
86415,π13463,προσυλάκτησις,n,n-s---fn3v,προσυλακτησέως,,,,,0
86423,π13471,προσυμβολέω,v,----------,,,,,,0
86430,π13476,προσυμπλέκομαι,v,----------,,,,,,0
86435,π13481,προσυναίρεσις,n,n-s---fn3v,προσυναιρεσέως,,,,,0
86445,π13491,προσυντίθεμαι,v,----------,,,,,,0
86452,π13498,προσυπάρχω,v,----------,,,,,,0
86458,π13504,προσυπέχω,v,----------,,,,,,0
86463,π13509,προσυποδεικτέον,v,----------,,,,,,0
86470,π13516,προσυπομιμνήσκω,v,----------,,,,,,0
86486,π13532,προσυφίσταμαι,v,----------,,,,,,0
86494,π13540,προσφανής,a,aps---cn5s,προσφανής προσφανής προσφανές,,,,,0
86504,π13550,προσφθεγκτός,a,aps---mn1-,προσφθεγκτός προσφθεγκτή προσφθεγκτόν,,,,,0
86512,π13558,προσφιλής,a,aps---cn5s,προσφιλής προσφιλής προσφιλές,,,,,0
86521,π13567,προσφλεγμαίνω,v,----------,,,,,,0
86541,π13587,προσφυτεύω,v,----------,,,,,,0
86549,π13595,προσφωνητέον,v,----------,,,,,,0
86555,π13601,προσχαρισμός,n,----------,,,,,,0
86561,π13607,πρόσχερος,a,aps---cn2-,πρόσχερος πρόσχερος πρόσχερον,,,,,0
86571,π13617,προσχόλιον,n,n-s---nn2-,προσχολίου,,,,,0
86576,π13622,πρόσχορος,a,aps---cn2-,πρόσχορος πρόσχορος πρόσχορον,,,,,0
86584,π13631,πρόσχρωμον,n,n-s---nn2-,προσχρώμου,,,,,0
86593,π13639,προσχώριος,a,aps---cn2-,προσχώριος προσχώριος προσχώριον,,,,,0
86601,π13647,προσψιθυρίζω,v,----------,,,,,,0
86609,π12172,προσῳδός,a,aps---cn2-,προσῳδός προσῳδός προσῳδόν,,,,,0
86618,π13659,προσωπίδιον,n,n-s---nn2-,προσωπιδίου,,,,,0
86628,π13669,πρόσωπος,n,n-s---mn2-,προσώπου,,,,,0
86634,π13675,προσωφέλησις,n,n-s---fn3v,προσωφελησέως,,,,,0
86645,π13686,προτανεία,n,n-s---fn1l,προτανείας,,,,,0
86653,π13694,πρότασις,n,n-s---fn3v,προτασέως,,,/pró.ta.sis/,,0
86662,π13703,προτείχισμα,n,n-s---nn3t,προτειχίσματος,,,,,0
86669,π13710,προτέλεσμα,n,n-s---nn3t,προτελέσματος,,,,,0
86675,π13716,προτέλευτος,a,aps---cn2-,προτέλευτος προτέλευτος προτέλευτον,,,,,0
86699,π13741,προτεύχω,v,----------,,,,,,0
86704,π13746,προτήθυς,n,n-s---fn3v,προτήθυος,,,,,0
86714,π13757,προτίμησις,n,n-s---fn3v,προτιμησέως,,,,,0
86722,π13765,προτιόσσομαι,v,----------,,,,,,0
86730,π13773,προτομαφόρος,n,----------,,,,,,0
86738,π13781,προτρέπτης,n,n-s---mn1e,προτρέπτου,,,,,0
86759,π13802,προτύπτης,n,n-s---mn1e,προτύπτου,,,,,0
86768,π13811,προύμνη,n,n-s---fn1e,προύμνης,,,,,0
86774,π13816,προϋπακούω,v,----------,,,,,,0
86782,π13824,προϋπεκλύω,v,----------,,,,,,0
86788,π13830,προϋπεροχή,n,n-s---fn1e,προϋπεροχῆς,,,,,0
86795,π13837,προϋπογραφή,n,n-s---fn1e,προϋπογραφῆς,,,,,0
86812,π13854,προϋπόσχεσις,n,n-s---fn3v,προϋποσχεσέως,,,,,0
86821,π13863,προϋποχέω,v,----------,,,,,,0
86828,π13868,προυσέληνος,n,----------,,,,,,0
86836,π13877,προφάνεια,n,n-s---fn1s,προφάνειας,,,,,0
86847,π13888,πρόφατος,a,aps---cn2-,πρόφατος πρόφατος πρόφατον,,,,,0
86856,π13897,προφητάζω,v,----------,,,,,,0
86864,π13904,προφητοτόκος,a,aps---cn2-,προφητοτόκος προφητοτόκος προφητοτόκον,,,,,0
86875,π13915,προφοβητικός,a,aps---mn1-,προφοβητικός προφοβητική προφοβητικόν,,,,,0
86885,π13925,πρόφρακτος,a,aps---cn2-,πρόφρακτος πρόφρακτος πρόφρακτον,,,,,0
86895,π13936,προφυλακτέος,a,aps---mn1-,προφυλακτέος προφυλακτέα προφυλακτέον,,,,,0
86917,π13958,προχαράσσω,v,----------,,,,,,0
86922,π13962,πρόχειλος,a,aps---cn2-,πρόχειλος πρόχειλος πρόχειλον,,,,,0
86931,π13971,προχειρογράφος,n,n-s---mn2-,προχειρογράφου,,,,,0
86939,π13979,προχειροφόρος,n,n-s---mn2-,προχειροφόρου,,,,,0
86951,π13992,προχοί̈διον,n,n-s---nn2-,προχοϊδίου,,,,,0
86960,π14001,πρόχρησις,n,n-s---fn3v,προχρησέως,,,,,0
86981,π14021,προχώρησις,n,n-s---fn3v,προχωρησέως,,,,,0
86988,π14028,προψηλάφημα,n,n-s---nn3t,προψηλαφήματος,,,,,0
86998,π14036,προώλης,a,aps---cn3s,προώλης προώλης προώ͂λες,,,,,0
87008,π14046,προωστικός,a,aps---mn1-,προωστικός προωστική προωστικόν,,,,,0
87016,π14073,πρυμνήσιος,a,aps---mn1-,πρυμνήσιος πρυμνήσια πρυμνήσιον,,,,,0
87038,π14096,πρωθευρετής,n,n-s---mn1e,πρωθευρετού,,,,,0
87045,π14103,πρωϊανθής,a,aps---cn5s,πρωϊανθής πρωϊανθής πρωϊανθές,,,,,0
87057,π14115,πρωϊσπορέομαι,v,----------,,,,,,0
87065,π09650,πρῷμος,a,aps---cn2-,πρῷμος πρῷμος πρῷμον,,,,,0
87075,π14053,πρῳρατικός,a,aps---mn1-,πρῳρατικός πρῳρατική πρῳρατικόν,,,,,0
87092,π14136,πρωτάρχης,n,----------,,,,,,0
87097,π14141,πρωταυράριος,n,n-s---mn2-,πρωταυραρίου,,,,,0
87105,π14148,πρωτεξάδελφος,n,n-s---mn2-,πρωτεξαδέλφου,,,,,0
87114,π14155,πρωτόαλος,a,aps---cn2-,πρωτόαλος πρωτόαλος πρωτόαλον,,,,,0
87123,π14164,πρωτόγαμος,a,aps---cn2-,πρωτόγαμος πρωτόγαμος πρωτόγαμον,,,,,0
87132,π14173,πρωτογλυφής,a,aps---cn5s,πρωτογλυφής πρωτογλυφής πρωτογλυφές,,,,,0
87142,π14183,πρωτοδημότης,n,n-s---mn1e,πρωτοδημότου,,,,,0
87150,π14191,πρωτοθρόνιος,a,aps---mn1-,πρωτοθρόνιος πρωτοθρόνια πρωτοθρόνιον,,,,,0
87156,π14197,πρωτοκατασκεύαστος,a,aps---cn2-,πρωτοκατασκεύαστος πρωτοκατασκεύαστος πρωτοκατασκεύαστον,,,,,0
87168,π14209,πρωτόκτιστος,a,aps---cn2-,πρωτόκτιστος πρωτόκτιστος πρωτόκτιστον,,,,,0
87183,π14224,πρωτόμισθος,a,aps---cn2-,πρωτόμισθος πρωτόμισθος πρωτόμισθον,,,,,0
87190,π14231,πρωτονύμφευτος,a,aps---cn2-,πρωτονύμφευτος πρωτονύμφευτος πρωτονύμφευτον,,,,,0
87200,π14241,πρωτόπλαστος,a,aps---cn2-,πρωτόπλαστος πρωτόπλαστος πρωτόπλαστον,,,,,0
87210,π14251,πρωτοπρεσβύτερος,n,n-s---mn2-,πρωτοπρεσβυτέρου,,,,,0
87216,π14256,πρωτοσέληνος,a,aps---cn2-,πρωτοσέληνος πρωτοσέληνος πρωτοσέληνον,,,,,0
87225,π14265,πρωτόσφακτος,a,aps---cn2-,πρωτόσφακτος πρωτόσφακτος πρωτόσφακτον,,,,,0
87234,π14274,πρωτότοκος,a,aps---cn2-,πρωτότοκος πρωτότοκος πρωτότοκον,,,/prɔː.tó.to.kos/,,0
87243,π14284,πρωτοφαής,a,aps---cn5s,πρωτοφαής πρωτοφαής πρωτοφαές,,,,,0
87249,π14290,πρωτόφυτος,a,aps---cn2-,πρωτόφυτος πρωτόφυτος πρωτόφυτον,,,,,0
87261,π14309,πταιστός,a,aps---mn1-,πταιστός πταιστή πταιστόν,,,,,0
87276,π14326,πτελέϊνος,a,aps---mn1-,πτελέϊνος πτελεΐνη πτελέϊνον,,,,,0
87289,π14341,πτέρνιξ,n,n-s---mn3v,πτέρνικος,,,,,0
87296,π14348,πτερνοβάτης,a,----------,,,,,,0
87301,π14353,πτερνοτρώκτης,n,n-s---mn1e,πτερνοτρώκτου,,,,,0
87310,π14362,πτερονόμος,a,aps---cn2-,πτερονόμος πτερονόμος πτερονόμον,,,,,0
87319,π14371,πτεροφόρος,a,aps---cn2-,πτεροφόρος πτεροφόρος πτεροφόρον,,,,,0
87329,π14381,πτερύγισμα,n,n-s---nn3t,πτερυγίσματος,,,,,0
87335,π14387,πτερυγοτύραννος,n,n-s---mn2-,πτερυγοτυράννου,,,,,0
87346,π14398,πτερώνυμος,a,aps---cn2-,πτερώνυμος πτερώνυμος πτερώνυμον,,,,,0
87354,π14406,πτηνοπέδιλος,a,aps---cn2-,πτηνοπέδιλος πτηνοπέδιλος πτηνοπέδιλον,,,,,0
87368,π14418,πτιλωτός,a,aps---mn1-,πτιλωτός πτιλωτή πτιλωτόν,,,,,0
87386,π14438,πτοιαλέος,a,aps---mn1-,πτοιαλέος πτοιαλέα πτοιαλέον,,,,,0
87397,π14444,πτολίεθρον,n,n-s---mn1-,πτολιέθρου,,,/pto.lí.e.tʰron/,,0
87408,π14455,πτορθοφορέω,v,----------,,,,,,0
87414,π14463,πτυαλώδης,a,aps---cn3s,πτυαλώδης πτυαλώδης πτυαλώ͂δες,,,,,0
87446,π14492,πτωματικός,a,aps---mn1-,πτωματικός πτωματική πτωματικόν,,,,,0
87462,π14508,πτωχίζω,v,----------,,,,,,0
87465,π14511,πτωχόμουσος,a,aps---cn2-,πτωχόμουσος πτωχόμουσος πτωχόμουσον,,,,,0
87477,,Πυανόψια,n,n-p---nn2-,Πυανοψίων,,,,,0
87500,π14545,πυγμικός,a,aps---mn1-,πυγμικός πυγμική πυγμικόν,,,,,0
87509,π14554,πυγωνιαῖος,a,aps---mn1-,πυγωνιαῖος πυγωνιαῖα πυγωνιαῖον,,,,,0
87523,,Πυθαγορικός,n,n-s---mn2-,Πυθαγορικοῦ,,,/pyː.tʰa.ɡo.ri.kós/,,0
87537,,Πυθιακός,a,aps---mn1-,Πυθιακός Πυθιακή Πυθιακόν,,,,,0
87554,,Πυθόκραντος,a,aps---cn2-,Πυθόκραντος Πυθόκραντος Πυθόκραντον,,,,,0
87562,,Πυθόχρηστος,a,aps---cn2-,Πυθόχρηστος Πυθόχρηστος Πυθόχρηστον,,,,,0
87577,π14579,πυκιμηδής,a,aps---cn5s,πυκιμηδής πυκιμηδής πυκιμηδές,,,,,0
87586,π14588,πυκναία,n,n-s---fn1l,πυκναίας,,,,,0
87591,π14593,πυκνογόνατος,a,aps---cn2-,πυκνογόνατος πυκνογόνατος πυκνογόνατον,,,,,0
87612,π14614,πυκνόσαρκος,a,aps---cn2-,πυκνόσαρκος πυκνόσαρκος πυκνόσαρκον,,,,,0
87617,π14619,πυκνοσύγκριτος,a,aps---cn2-,πυκνοσύγκριτος πυκνοσύγκριτος πυκνοσύγκριτον,,,,,0
87636,π14638,πυκτικότης,n,n-s---fn3t,πυκτικότητος,,,,,0
87646,π14644,πυλαιασταί,n,n-p---mn2-,πυλαιαστῶν,,,,,0
87659,π14655,πυλεών,n,n-s---mn3n,πυλεῶνος,,,,,0
87669,,Πυλοιγενής,a,aps---cn5s,Πυλοιγενής Πυλοιγενής Πυλοιγενές,,,,,0
87682,π14672,πυλώριον,n,n-s---nn2-,πυλωρίου,,,,,0
87692,π14683,πυξίδιον,n,n-s---nn2-,πυξιδίου,,,,,0
87700,π14691,πυξοειδής,a,aps---cn5s,πυξοειδής πυξοειδής πυξοειδές,,,,,0
87727,π14717,πυραίθουσα,n,n-s---fn1s,πυραίθουσας,,,,,0
87740,π14730,πυραμοειδής,a,aps---cn5s,πυραμοειδής πυραμοειδής πυραμοειδές,,,,,0
87748,π14738,πυράφλεκτος,a,aps---cn2-,πυράφλεκτος πυράφλεκτος πυράφλεκτον,,,,,0
87763,π14753,πύργιτρον,n,n-s---nn2-,πυργίτρου,,,,,0
87767,π14757,πυργοειδής,a,aps---cn5s,πυργοειδής πυργοειδής πυργοειδές,,,,,0
87780,π14769,πυργοφύλαξ,n,----------,,,,,,0
87788,π14778,πύρδαλον,n,n-s---nn2-,πυρδάλου,,,,,0
87794,π14783,πυρεκτικός,a,aps---mn1-,πυρεκτικός πυρεκτική πυρεκτικόν,,,,,0
87806,π14796,πυρετώδης,a,aps---cn3s,πυρετώδης πυρετώδης πυρετώ͂δες,,,,,0
87818,π14808,πυρηνοειδής,a,aps---cn5s,πυρηνοειδής πυρηνοειδής πυρηνοειδές,,,,,0
87836,π14826,πυρίβλητος,a,aps---cn2-,πυρίβλητος πυρίβλητος πυρίβλητον,,,,,0
87844,π14834,πυριγενής,a,aps---cn5s,πυριγενής πυριγενής πυριγενές,,,,,0
87854,π14844,πυρίδρομος,a,aps---cn2-,πυρίδρομος πυρίδρομος πυρίδρομον,,,,,0
87862,π14852,πυρίκαυστος,a,aps---cn2-,πυρίκαυστος πυρίκαυστος πυρίκαυστον,,,,,0
87897,π14887,πυρίσπαρτος,a,aps---cn2-,πυρίσπαρτος πυρίσπαρτος πυρίσπαρτον,,,,,0
87904,π14894,πυρισφρήγιστος,a,aps---cn2-,πυρισφρήγιστος πυρισφρήγιστος πυρισφρήγιστον,,,,,0
89039,ρ00844,ῥωμαλέος,a,aps---mn1-,ῥωμαλέος ῥωμαλέα ῥωμαλέον,,,,,0
89052,ρ00855,ῥωπήεις,a,aps---mn4i,ῥωπήεις ῥωπήεσσα ῥωπήεν,,,,,0
89061,ρ00864,ῥωποπώλης,n,n-s---mn1e,ῥωποπώλου,,,,,0
89079,σ00002,σά,n,----------,,,,,,0
89082,,Σαβάζιος,n,n-s---mn2-,Σαβαζίου,,,/sa.báz.di.os/,,0
89094,σ00011,σαβαρίχις,n,----------,,,,,,0
89100,,Σαββατικός,a,aps---mn1-,Σαββατικός Σαββατική Σαββατικόν,,,,,0
89109,σ00015,σάβουρος,a,aps---cn2-,σάβουρος σάβουρος σάβουρον,,,,,0
89123,σ00029,σαγηναῖος,a,aps---mn1-,σαγηναῖος σαγηναῖα σαγηναῖον,,,,,0
89136,σ00042,σάγμα,n,n-s---nn3t,σάγματος,,,,,0
89141,σ00046,σαγματοράπτης,n,n-s---mn1e,σαγματοράπτου,,,,,0
89167,σ00072,σάκελλος,n,n-s---mn2-,σακέλλου,,,,,0
89176,σ00080,σακκέω,v,----------,,,,,,0
89184,σ00088,σακκίον,n,n-s---nn2-,σακκίου,,,,,0
