419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
18804,β00861,βιόδωρος,a,aps---cn2-,βιόδωρος βιόδωρος βιόδωρον,,,,,0
18805,β00862,βιοδώτης,n,n-s---mn1e,βιοδώτου,,,,,0
18806,β00863,βιοδώτωρ,n,n-s---mn3r,βιοδώτορος,,,,,0
18809,β00866,βιοθανασία,n,----------,,,,,,0
18810,β00867,βιοθάνατος,n,----------,,,,,,0
18811,β00868,βιοθρέμμων,a,aps---cn3n,βιοθρέμμων βιοθρέμμων βιοθρέμμον,,,,,0
18812,β00869,βιοθρέπτειρα,n,n-s---fn1s,βιοθρέπτειρας,,,,,0
18813,β00870,βιοκλώστειρα,n,n-s---fn1s,βιοκλώστειρας,,,,,0
18814,β00871,βιόκουρος,n,n-s---mn2-,βιοκούρου,,,,,0
18815,β00872,βιοκωλύτης,n,n-s---mn1e,βιοκωλύτου,,,,,0
19205,β01261,βορεύω,v,----------,,,,,,0
18765,β00822,βιβλιδάριον,n,n-s---nn2-,βιβλιδαρίου,,,,,0
18818,β00875,βιολόγος,n,n-s---mn2-,βιολόγου,,,,,0
18820,β00877,βιόμορος,a,aps---cn2-,βιόμορος βιόμορος βιόμορον,,,,,0
18821,β00878,βιόπλαγκτος,a,aps---cn2-,βιόπλαγκτος βιόπλαγκτος βιόπλαγκτον,,,,,0
18823,β00880,βιοπονητικός,a,aps---mn1-,βιοπονητικός βιοπονητική βιοπονητικόν,,,,,0
18824,β00881,βιοπόνος,a,aps---cn2-,βιοπόνος βιοπόνος βιοπόνον,,,,,0
18825,β00882,βιόπραγος,a,aps---cn2-,βιόπραγος βιόπραγος βιόπραγον,,,,,0
18826,β00883,βιόπρατος,n,n-s---mn2-,βιοπράτου,,,,,0
18827,β00884,βίος,n,n-s---mn2-,βίου,,,,,0
18828,β00885,βιός,n,n-s---mn--,,,,,,0
18829,β00886,βιοσσόος,a,aps---cn2-,βιοσσόος βιοσσόος βιοσσόον,,,,,0
18830,β00887,βιοστερής,a,aps---cn5s,βιοστερής βιοστερής βιοστερές,,,,,0
18831,β00888,βιοτεία,n,n-s---fn1l,βιοτείας,,,,,0
18832,β00889,βιοτελής,a,aps---cn5s,βιοτελής βιοτελής βιοτελές,,,,,0
18834,β00891,βιότευμα,n,n-s---nn3t,βιοτεύματος,,,,,0
18835,β00892,βιοτεύω,v,----------,,,,,,0
18836,β00893,βιοτή,n,n-s---fn1e,βιοτῆς,,,,,0
18837,β00894,βιότης,n,n-s---fn3t,βιότητος,,,,,0
18838,β00895,βιοτήσιος,a,aps---cn2-,βιοτήσιος βιοτήσιος βιοτήσιον,,,,,0
18839,β00896,βιότιον,n,n-s---nn2-,βιοτίου,,,,,0
18840,β00897,βίοτος,n,n-s---mn2-,βιότου,,,,,0
18842,β00899,βιοτρόφος,a,aps---cn2-,βιοτρόφος βιοτρόφος βιοτρόφον,,,,,0
18843,β00900,βιοφειδής,a,aps---cn5s,βιοφειδής βιοφειδής βιοφειδές,,,,,0
18844,β00901,βιοφθορία,n,n-s---fn1l,βιοφθορίας,,,,,0
18846,β00903,βιόω,v,----------,,,,/bi.ó.ɔː/,,0
18847,β00904,βιόωνται,n,----------,,,,,,0
18848,β00905,βιπίννιον,n,n-s---nn2-,βιπιννίου,,,,,0
18849,β00906,βιπτάζω,v,----------,,,,,,0
18850,β00907,βίρρος,n,n-s---mn2-,βίρρου,,,/ˈβir.ros/,,0
18851,β00908,βίσβη,n,----------,,,,,,0
18852,β00909,βιστάκιον,n,n-s---nn2-,βιστακίου,,,,,0
18853,β00910,βίσχυν,r,----------,,,,,,0
18854,β00911,βίσων,n,----------,,,,,,0
18855,β00912,βίτος,n,n-s---mn2-,βίτου,,,,,0
18856,β00913,βίττακος,n,n-s---mn2-,βιττάκου,,,,,0
18857,β00785,βίῳ,n,n-s----n--,,,,/bí.ɔːi̯/,,0
18858,β00914,βιώλεθρος,a,aps---cn2-,βιώλεθρος βιώλεθρος βιώλεθρον,,,,,0
18859,β00915,βιώνης,n,n-s---mn1e,βιώνου,,,,,0
18860,β00916,βίωρ,n,----------,,,,,,0
18862,β00918,βίωσις,n,n-s---fn3v,βιωσέως,,,,,0
18863,β00919,βιώσκομαι,v,----------,,,,,,0
18864,β00920,βιωτέον,a,----------,,,,,,0
18866,β00922,βιωτός,a,aps---cn2-,βιωτός βιωτός βιωτόν,,,,,0
18867,β00923,βιωφελής,a,aps---cn5s,βιωφελής βιωφελής βιωφελές,,,,,0
18817,β00874,βιολογικός,a,aps---mn--,βιολογικός βιολογική βιολογικόν,,,,,0
18872,β00929,βλάβομαι,v,----------,,,,,,0
18873,β00930,βλάβος,n,----------,,,,,,0
18874,β00931,βλαδαρός,a,aps---mn1-,βλαδαρός βλαδαρά βλαδαρόν,,,,,0
18875,β00933,βλαισόομαι,v,----------,,,,,,0
18876,β00934,βλαισός,a,aps---mn1-,βλαισός βλαισή βλαισόν,,,,,0
18877,β00935,βλαισότης,n,n-s---fn3t,βλαισότητος,,,,,0
18879,β00937,βλαίσωσις,n,n-s---fn3v,βλαισωσέως,,,,,0
18880,β00938,βλακεία,n,n-s---fn1l,βλακείας,,,,,0
18881,β00939,βλακεννόμιον,n,----------,,,,,,0
18882,β00940,βλάκευμα,n,n-s---nn3t,βλακεύματος,,,,,0
18883,β00941,βλακεύω,v,----------,,,,,,0
18884,β00942,βλακικός,a,aps---mn1-,βλακικός βλακική βλακικόν,,,,,0
18885,β00943,βλακότης,n,n-s---fn3t,βλακότητος,,,,,0
18886,β00944,βλακώδης,a,aps---cn3s,βλακώδης βλακώδης βλακώ͂δες,,,,,0
18887,β00945,βλάμμα,n,n-s---nn3t,βλάμματος,,,,,0
18888,β00947,βλάξ,n,----------,,,,,,0
18890,β00949,βλαπτικός,a,aps---mn1-,βλαπτικός βλαπτική βλαπτικόν,,,/blap.ti.kós/,,0
18891,β00950,βλάπτω,v,----------,,,,,,0
18892,β00951,βλάσαμον,n,n-s---nn2-,βλασάμου,,,,,0
18893,β00952,βλαστάνω,v,----------,,,,/blas.tá.nɔː/,,0
18894,β00953,βλαστάω,v,----------,,,,,,0
18896,β00955,βλάστη,n,n-s---fn1e,βλάστης,,,,,0
18897,β00956,βλάστημα,n,n-s---nn3t,βλαστήματος,,,,,0
18898,β00957,βλαστημός,n,----------,,,,,,0
18899,β00958,βλαστήμων,a,aps---cn3n,βλαστήμων βλαστήμων βλαστήμον,,,,,0
18900,β00959,βλάστησις,n,n-s---fn3v,βλαστησέως,,,,,0
18902,β00961,βλαστικός,a,aps---mn1-,βλαστικός βλαστική βλαστικόν,,,,,0
18903,β00962,βλαστοδρεπής,a,aps---cn5s,βλαστοδρεπής βλαστοδρεπής βλαστοδρεπές,,,,,0
18904,β00963,βλαστοκοπέω,v,----------,,,,,,0
18905,β00964,βλαστολογέω,v,----------,,,,,,0
18906,β00965,βλαστόν,n,----------,,,,,,0
18907,β00966,βλαστός,n,----------,,,,,,0
18908,β00967,βλαστοφυέω,v,----------,,,,,,0
18909,β00968,βλαστόω,v,----------,,,,,,0
18910,β00969,βλασφημέω,v,----------,,,,/blas.pʰɛː.mé.ɔː/,,0
18911,β00970,βλασφημία,n,n-s---fn1l,βλασφημίας,,,,,0
18913,β00972,βλάττα,n,n-s---fn1l,βλάττας,,,,,0
18914,β00973,βλαύτη,n,n-s---fn1e,βλαύτης,,,,,0
18916,β00975,βλαυτόω,v,----------,,,,,,0
18917,β00976,βλάχνον,n,n-s---nn2-,βλάχνου,,,,,0
18918,β00977,βλάψις,n,n-s---fn3v,βλάψεως,,,,,0
18919,β00978,βλαψίταφος,n,----------,,,,,,0
18921,β00980,βλεαίρει,n,----------,,,,,,0
18922,β00981,βλέθρα,n,----------,,,,,,0
18923,β00982,βλεμεαίνω,v,----------,,,,,,0
18870,β00927,βλάβη,n,n-s---fn1e,βλάβης,,,,,0
18927,β00986,βλεννός,a,aps---mn1-,βλεννός βλεννή βλεννόν,,,,,0
18929,β00988,βλέορον,n,----------,,,,,,0
18930,β00989,βλεπεδαίμων,a,aps---cn3n,βλεπεδαίμων βλεπεδαίμων βλεπεδαίμον,,,,,0
18931,β00990,βλέπησις,n,n-s---fn3v,βλεπησέως,,,,,0
18932,β00991,βλέπος,n,n-s---nn3c,βλέπους,,,,,0
18933,β00992,βλεπτέον,v,----------,,,,,,0
18934,β00993,βλεπτικός,a,aps---mn1-,βλεπτικός βλεπτική βλεπτικόν,,,,,0
18935,β00994,βλεπτός,a,aps---mn1-,βλεπτός βλεπτή βλεπτόν,,,,,0
18936,β00995,βλέπω,v,----------,,,,/blé.pɔː/,,0
18937,β00996,βλεφαρίζω,v,----------,,,,,,0
18940,β01004,βλεφαρῖτις,n,n-s---fn3d,βλεφαρίτιδος,,,,,0
18942,β01000,βλέφαρον,n,n-s---nn2-,βλεφάρου,,,/blé.pʰa.ron/,,0
18943,β01001,βλεφαρόξυστον,n,n-s---nn2-,βλεφαροξύστου,,,,,0
18944,β01002,βλεφαροσπάξ,a,----------,,,,,,0
18945,β01003,βλεφαροτό,n,----------,,,,,,0
18946,β01005,βλεψίας,n,n-s---mn1a,βλεψίου,,,,,0
18947,β01006,βλέψις,n,n-s---fn3v,βλέψεως,,,,,0
18948,β01007,βλήδην,r,----------,,,,,,0
18949,β01008,βλήθα,n,----------,,,,,,0
18950,β01042,βλῆμα,n,n-s---nn3t,βλήματος,,,/blɛ̂ː.ma/,,0
18951,β01009,βλήμενος,n,----------,,,,,,0
18952,β01052,βλῆρ,n,----------,,,,,,0
18953,β01010,βλής,n,----------,,,,,,0
18954,β01053,βλῆσθαι,n,----------,,,,,,0
18955,β01011,βληστρίζω,v,----------,,,,,,0
18956,β01012,βληστρισμός,n,----------,,,,,,0
18957,β01013,βλήτειρα,n,n-s---fn1s,βλήτειρας,,,,,0
18958,β01014,βλητέον,v,----------,,,,,,0
18959,β01015,βλητικόν,n,----------,,,,,,0
18960,β01055,βλῆτο,n,----------,,,,,,0
18961,β01056,βλῆτον,n,----------,,,,,,0
18963,β01057,βλῆτρον,n,n-s---nn2-,βλήτρου,,,,,0
18964,β01017,βληχάζω,v,----------,,,,,,0
18965,β01018,βληχάομαι,v,----------,,,,,,0
18966,β01019,βληχάς,n,n-s---fn3d,βληχάδος,,,,,0
18967,β01020,βληχή,n,n-s---fn1e,βληχῆς,,,,,0
18968,β01021,βληχηθμός,n,----------,,,,,,0
18970,β01023,βληχητά,n,----------,,,,,,0
18971,β01063,βλῆχνον,n,n-s---nn2-,βλήχνου,,,,,0
18973,β01065,βλῆχρος,n,----------,,,,,,0
18974,β01064,βλῆχρον,n,----------,,,,,,0
18975,β01025,βληχώδης,a,aps---cn3s,βληχώδης βληχώδης βληχώ͂δες,,,,,0
18976,β01026,βλήχων,n,----------,,,,,,0
18977,β01027,βληχωνίας,n,n-s---mn1a,βληχωνίου,,,,,0
18978,β01028,βληχώνιον,n,n-s---nn2-,βληχωνίου,,,,,0
18979,β01029,βλιμάζω,v,----------,,,,,,0
18980,β01030,βλίμασις,n,n-s---fn3v,βλιμασέως,,,,,0
18981,β01031,βλιστηρίς,n,n-s---fn3d,βλιστηρίδος,,,,,0
18925,β00984,βλέννα,n,n-s---fn1l,βλέννας,,,,,0
18985,β01035,βλίτον,n,n-s---nn2-,βλίτου,,,,,0
18986,β01036,βλίττω,v,----------,,,,,,0
18987,β01037,βλίτυρι,n,----------,,,,,,0
18988,β01038,βλιτυρίζομαι,v,----------,,,,,,0
18989,β01039,βλίτυρον,n,----------,,,,,,0
18991,β01041,βλιχώδης,a,aps---cn3s,βλιχώδης βλιχώδης βλιχώ͂δες,,,,,0
18992,β01044,βλοσυρόμματος,a,aps---cn2-,βλοσυρόμματος βλοσυρόμματος βλοσυρόμματον,,,,,0
18993,β01045,βλοσυρός,a,----------,,,,,,0
18994,β01046,βλοσυρότης,n,n-s---fn3t,βλοσυρότητος,,,,,0
18995,β01047,βλοσυρόφρων,a,aps---cn3n,βλοσυρόφρων βλοσυρόφρων βλοσυρόφρον,,,,,0
18996,β01049,βλοσυρώπης,n,n-s---mn1e,βλοσυρώπου,,,,,0
18997,β01048,βλοσυρῶπις,n,n-s---fn3d,βλοσυρώπιδος,,,,,0
18999,β01051,βλόχον,n,----------,,,,,,0
19000,β01058,βλύζω,v,----------,,,,/blýz.dɔː/,,0
19001,β01059,βλύσις,a,----------,,,,,,0
19002,β01060,βλυστάνω,v,----------,,,,,,0
19003,β01061,βλυχάζω,v,----------,,,,,,0
19004,β01062,βλύω,v,----------,,,,/bly̌ː.ɔː/,,0
19006,β01067,βλωμός,n,----------,,,,,,0
19007,β01068,βλωρός,n,----------,,,,,,0
19008,β01054,βλῶσις,n,n-s---fn3v,βλώσεως,,,,,0
19009,β01069,βλώσκω,v,----------,,,,/blɔ̌ːs.kɔː/,,0
19010,β01076,βόα,n,n-s---fn1l,βόας,,,,,0
19011,β01077,βοαγός,n,----------,,,,,,0
19012,β01078,βοάγριον,n,n-s---nn2-,βοαγρίου,,,,,0
19013,β01079,βόαγρος,n,n-s---mn2-,βοάγρου,,,,,0
19014,β01080,βοαθόος,n,----------,,,,,,0
19015,β01081,βόαμα,n,n-s---nn3t,βοάματος,,,,,0
19017,β01083,βοάνθρωπος,n,n-s---mn2-,βοανθρώπου,,,,,0
19018,β01084,βόαξ,n,n-s---mn3e,βόακος,,,,,0
19019,β01085,βοάριος,a,aps---mn1-,βοάριος βοάρια βοάριον,,,,,0
19020,β01086,βοαρμία,n,n-s---fn1l,βοαρμίας,,,,,0
19021,β01087,βόαρχος,a,aps---cn2-,βόαρχος βόαρχος βόαρχον,,,,,0
19022,β01316,βοᾶτις,n,n-s---fn3d,βοάτιδος,,,,,0
19023,β01088,βοαύλιον,n,n-s---nn2-,βοαυλίου,,,,,0
19024,β01089,βόαυλος,n,n-s---mn2-,βοαύλου,,,,,0
19025,β01090,βοάω,v,----------,,,,/bo.á.ɔː/,,0
19027,β01092,βοεικός,a,aps---mn1-,βοεικός βοεική βοεικόν,,,,,0
19028,β01093,βόειος,a,----------,,,,,,0
19029,β01094,βοεύς,n,n-s---mn3v,βοέως,,,,,0
19030,β01095,βοή,n,n-s---fn1e,βοῆς,,,/bo.ɛ̌ː/,,0
19032,β01097,βοήγια,n,----------,,,,,,0
19033,β01098,βοηγοί,n,----------,,,,,,0
19034,β01099,βοηδόν,r,----------,,,,,,0
19035,β01100,βοηδρομέω,v,----------,,,,,,0
19036,β01101,βοηδρόμια,n,n-p---nn2-,βοηδρομίων,,,,,0
19093,β01156,βολβίσκος,n,n-s---mn2-,βολβίσκου,,,,,0
18983,β01033,βλιτάχεα,n,n-p---nn2-,βλιταχέων,,,,,0
19040,β01105,βοήδρομος,a,aps---cn2-,βοήδρομος βοήδρομος βοήδρομον,,,,,0
19041,β01106,βοήθαρχος,n,n-s---mn2-,βοηθάρχου,,,,,0
19042,β01107,βοήθεια,n,n-s---fn1s,βοήθειας,,,/bo.ɛ̌ː.tʰeː.a/,,0
19043,β01108,βοηθέω,v,----------,,,,/bo.ɛː.tʰé.ɔː/,,0
19045,β01110,βοηθηματικός,a,aps---mn1-,βοηθηματικός βοηθηματική βοηθηματικόν,,,,,0
19046,β01111,βοηθήσιμος,a,aps---cn2-,βοηθήσιμος βοηθήσιμος βοηθήσιμον,,,,,0
19047,β01112,βοήθησις,n,n-s---fn3v,βοηθησέως,,,,,0
19048,β01113,βοηθητέον,v,----------,,,,,,0
19050,β01115,βοηθόος,a,aps---cn2-,βοηθόος βοηθόος βοηθόον,,,,,0
19051,β01116,βοηθοῦρα,n,n-s---fn1s,βοηθοῦρης,,,,,0
19053,β01120,βοηλατέω,v,----------,,,,,,0
19054,β01121,βοηλάτης,a,----------,,,,,,0
19055,β01122,βοηλατικός,a,aps---mn1-,βοηλατικός βοηλατική βοηλατικόν,,,,,0
19056,β01123,βόημα,n,----------,,,,,,0
19057,β01124,βοηνόμος,n,n-s---cn2-,βοηνόμου,,,,,0
19058,β01125,βόηξ,n,----------,,,,,,0
19059,β01126,βοήροτος,a,aps---cn2-,βοήροτος βοήροτος βοήροτον,,,,,0
19060,β01127,βόησις,n,n-s---fn3v,βοησέως,,,,,0
19061,β01128,βοητής,n,n-s---mn1e,βοητού,,,,,0
19063,β01130,βοητός,a,aps---mn1-,βοητός βοητή βοητόν,,,,,0
19064,β01131,βοητύς,n,n-s---fn3v,βοητύος,,,,,0
19065,β01132,βοθρεύω,v,----------,,,,,,0
19066,β01133,βοθρίον,n,n-s---nn2-,βοθρίου,,,,,0
19067,β01134,βοθροειδής,a,aps---cn5s,βοθροειδής βοθροειδής βοθροειδές,,,,,0
19068,β01135,βόθρος,n,n-s---mn2-,βόθρου,,,,,0
19069,β01136,βοθρόω,v,----------,,,,,,0
19070,β01137,βοθύνιον,n,n-s---nn2-,βοθυνίου,,,,,0
19071,β01138,βόθυνος,n,n-s---mn2-,βοθύνου,,,,,0
19073,β01140,βοιδάριον,n,n-s---nn2-,βοιδαρίου,,,,,0
19074,β01141,βοίδης,n,n-s---mn1e,βοίδου,,,,,0
19075,β01142,βοίδιον,n,n-s---nn2-,βοιδίου,,,,,0
19076,β01143,βοϊκός,n,----------,,,,,,0
19077,β01144,βόϊνος,a,aps---mn1-,βόϊνος βοΐνη βόϊνον,,,,,0
19078,β01145,βοιόν,n,----------,,,,,,0
19079,β01146,βοϊστί,r,----------,,,,,,0
19080,,Βοιωτάρχης,n,n-s---mn1e,Βοιωτάρχου,,,,,0
19082,β01147,βοιωτιάζω,v,----------,,,,,,0
19084,,Βοιωτός,n,n-s---mn2-,,,,/boi̯.ɔː.tós/,,0
19085,,Βοκόπια,n,n-p---nn2-,Βοκοπίων,,,,,0
19086,β01149,βολαῖος,a,aps---mn1-,βολαῖος βολαῖα βολαῖον,,,,,0
19087,β01150,βολαυγέω,v,----------,,,,,,0
19088,β01151,βόλβα,n,n-s---fn1l,βόλβας,,,,,0
19089,β01152,βολβάριον,n,n-s---nn2-,βολβαρίου,,,,,0
19090,β01153,βόλβιθος,n,n-s---mn2-,βολβίθου,,,,,0
19091,β01154,βολβίνη,n,n-s---fn1e,βολβίνης,,,,,0
19092,β01155,βολβίον,n,n-s---nn2-,βολβίου,,,,,0
19039,β01104,βοηδρομιών,n,n-s---mn3n,βοηδρομιῶνος,,,,,0
19097,β01160,βολβοκάστανον,n,n-s---nn2-,βολβοκαστάνου,,,,,0
19098,β01161,βολβός,n,----------,,,,,,0
19099,β01162,βολβοτύνη,n,----------,,,,,,0
19100,β01163,βολβοφακῆ,n,----------,,,,,,0
19102,β01165,βολβωρυχέω,v,----------,,,,,,0
19103,β01166,βολετισμός,n,----------,,,,,,0
19104,β01167,βολέω,v,----------,,,,,,0
19105,β01168,βολεών,n,n-s---mn3n,βολεῶνος,,,,,0
19106,β01169,βολή,n,n-s---fn1e,βολῆς,,,/bo.lɛ̌ː/,,0
19107,β01170,βολίδιον,n,n-s---nn2-,βολιδίου,,,,,0
19108,β01171,βολίζη,n,n-s---fn1e,βολίζης,,,,,0
19109,β01172,βολίζω,v,----------,,,,,,0
19110,β01173,βόλιμοι,n,----------,,,,,,0
19111,β01174,βόλιμος,n,----------,,,,,,0
19112,β01175,βόλινθος,n,n-s---mn2-,βολίνθου,,,,,0
19113,β01176,βόλιον,n,n-s---nn2-,βολίου,,,,,0
19114,β01177,βολίς,n,n-s---fn3d,βολίδος,,,,,0
19116,β01179,βολίταινα,n,n-s---fn1s,βολίταινας,,,,,0
19118,β01181,βόλιτον,n,n-s---nn2-,βολίτου,,,,,0
19119,β01182,βόλλα,n,----------,,,,,,0
19120,β01183,βόλλομαι,v,----------,,,,,,0
19121,β01184,βολλωτός,a,aps---mn1-,βολλωτός βολλωτή βολλωτόν,,,,,0
19122,β01185,βολοί,n,----------,,,,,,0
19123,β01186,βολοκτυπίη,n,n-s---fn1e,βολοκτυπίης,,,,,0
19124,β01187,βόλομαι,v,----------,,,,,,0
19125,β01188,βόλος,n,n-s---mn2-,βόλου,,,/bó.los/,,0
19126,β01189,βόλυβδος,n,n-s---mn2-,βολύβδου,,,,,0
19128,β01191,βομβάζω,v,----------,,,,,,0
19129,β01192,βομβάξ,n,----------,,,,,,0
19130,β01193,βομβαύλιος,n,n-s---mn2-,βομβαυλίου,,,,,0
19131,β01194,βομβέω,v,----------,,,,,,0
19132,β01195,βομβηδόν,r,----------,,,,,,0
19133,β01196,βομβήεις,a,aps---mn4i,βομβήεις βομβήεσσα βομβήεν,,,,,0
