ε05807,ἑληθερέω,v,----------,,,,,,0
32235,ε06176,ἐμεωυτοῦ,n,----------,,,,,,0
32236,ε06177,ἐμίας,n,n-s---mn1a,ἐμίου,,,,,0
32237,ε06178,ἐμίν,n,----------,,,,,,0
32238,ε06179,ἔμμα,n,n-s---nn3t,ἔμματος,,,,,0
32239,ε06180,ἐμμαγεῖον,n,n-s---nn2-,ἐμμαγείου,,,,,0
32240,ε06181,ἐμμαίνομαι,v,----------,,,,,,0
32241,ε06182,ἐμμακεδονίζω,v,----------,,,,,,0
32243,ε06184,ἐμμανής,a,aps---cn5s,ἐμμανής ἐμμανής ἐμμανές,,,,,0
32244,ε06185,ἔμμανις,n,----------,,,,,,0
32245,ε06186,ἐμμαπέως,r,----------,,,,,,0
32247,ε06188,ἐμμάσσομαι,v,----------,,,,,,0
32248,ε06189,ἐμματαιάζω,v,----------,,,,,,0
32249,ε06190,ἐμματέω,v,----------,,,,,,0
32250,ε06191,ἐμμάχομαι,v,----------,,,,,,0
32251,ε06192,ἐμμέθοδος,a,aps---cn2-,ἐμμέθοδος ἐμμέθοδος ἐμμέθοδον,,,,,0
32252,ε06193,ἐμμεθύσκομαι,v,----------,,,,,,0
32253,ε06194,ἐμμείγνυμι,v,----------,,,,,,0
32254,ε06195,ἐμμειδιάω,v,----------,,,,,,0
32255,ε06196,ἐμμέλεια,n,n-s---fn1s,ἐμμέλειας,,,,,0
32256,ε06197,ἐμμελετάω,v,----------,,,,,,0
32258,ε06199,ἐμμελετητέον,a,----------,,,,,,0
32259,ε06200,ἐμμελής,a,aps---cn5s,ἐμμελής ἐμμελής ἐμμελές,,,,,0
32260,ε06201,ἐμμεμαώς,a,aps---mn4t,ἐμμεμαώς ἐμμεμαυῖα ἐμμεμαός,,,,,0
32261,ε06202,ἐμμέμονα,a,----------,,,,,,0
32262,ε06203,ἐμμεμφής,a,aps---cn5s,ἐμμεμφής ἐμμεμφής ἐμμεμφές,,,,,0
32263,ε06204,ἔμμεν,n,----------,,,,,,0
32264,ε06205,ἐμμενετέον,v,----------,,,,,,0
32267,ε06208,ἐμμενής,a,aps---cn5s,ἐμμενής ἐμμενής ἐμμενές,,,,,0
32268,ε06209,ἐμμένω,v,----------,,,,/em.mé.nɔː/,,0
32269,ε06210,ἐμμερίζομαι,v,----------,,,,,,0
32270,ε06211,ἐμμέριμνος,a,aps---cn2-,ἐμμέριμνος ἐμμέριμνος ἐμμέριμνον,,,,,0
32271,ε06212,ἔμμεσος,a,aps---cn2-,ἔμμεσος ἔμμεσος ἔμμεσον,,,,,0
32272,ε06213,ἐμμεστόομαι,v,----------,,,,,,0
32273,ε06214,ἔμμεστος,a,aps---cn2-,ἔμμεστος ἔμμεστος ἔμμεστον,,,,,0
32221,ε06163,ἔμεσις,n,n-s---fn3v,ἐμεσέως,,,,,0
32276,ε06217,ἐμμετρέω,v,----------,,,,,,0
32277,ε06218,ἐμμετρία,n,n-s---fn1l,ἐμμετρίας,,,,,0
32278,ε06219,ἔμμετρος,a,aps---cn2-,ἔμμετρος ἔμμετρος ἔμμετρον,,,,,0
32279,ε06220,ἐμμηλάδας,n,----------,,,,,,0
32281,ε06222,ἐμμήνιος,a,aps---cn2-,ἐμμήνιος ἐμμήνιος ἐμμήνιον,,,,,0
32282,ε06223,ἔμμηνις,n,----------,,,,,,0
32284,ε06225,ἔμμηρος,n,n-s---mn2-,ἐμμήρου,,,,,0
32285,ε06226,ἔμμητρος,a,aps---cn2-,ἔμμητρος ἔμμητρος ἔμμητρον,,,,,0
32286,ε06227,ἔμμι,v,----------,,,,,,0
32287,ε06228,ἐμμιαίνω,v,----------,,,,,,0
32288,ε06229,ἔμμιλτος,a,aps---cn2-,ἔμμιλτος ἔμμιλτος ἔμμιλτον,,,,,0
32289,ε06230,ἐμμίμνω,v,----------,,,,,,0
32290,ε06231,ἐμμίσγω,v,----------,,,,,,0
32291,ε06232,ἔμμισθος,a,aps---cn2-,ἔμμισθος ἔμμισθος ἔμμισθον,,,,,0
32292,ε06233,ἐμμογέω,v,----------,,,,,,0
32293,ε06234,ἔμμοιρος,a,aps---cn2-,ἔμμοιρος ἔμμοιρος ἔμμοιρον,,,,,0
32294,ε06235,ἐμμολύνω,v,----------,,,,,,0
32295,ε06236,ἐμμονεύω,v,----------,,,,,,0
32296,ε06237,ἐμμονή,n,n-s---fn1e,ἐμμονῆς,,,,,0
32298,ε06239,ἔμμορε,v,v1spia----,,,,/ém.mo.re/,,0
32299,ε06240,ἔμμορος,a,aps---cn2-,ἔμμορος ἔμμορος ἔμμορον,,,,,0
32300,ε06241,ἔμμορφος,a,aps---cn2-,ἔμμορφος ἔμμορφος ἔμμορφον,,,,,0
32301,ε06242,ἐμμοτέω,v,----------,,,,,,0
32302,ε06243,ἔμμοτος,a,aps---cn2-,ἔμμοτος ἔμμοτος ἔμμοτον,,,,,0
32303,ε06244,ἔμμουσος,a,aps---cn2-,ἔμμουσος ἔμμουσος ἔμμουσον,,,,,0
32304,ε06245,ἔμμοχθος,a,aps---cn2-,ἔμμοχθος ἔμμοχθος ἔμμοχθον,,,,,0
32305,ε06246,ἐμμυέω,v,----------,,,,,,0
32306,ε06247,ἐμμυθόω,v,----------,,,,,,0
32308,ε06249,ἐμμύχιος,n,----------,,,,,,0
32310,ε06251,ἑμνιωβέλιον,n,----------,,,,,,0
32311,ε06252,ἕμος,n,n-s---nn3v,ἕμεος,,,,,0
32312,ε06254,ἐμός,a,app---mn1-,ἐμός ἐμή ἐμόν,,,/e.mós/,,0
32313,ε06253,ἐμοῦς,n,----------,,,,,,0
32314,ε06255,ἐμπάζομαι,v,----------,,,,,,0
32315,ε06256,ἐμπάθεια,n,n-s---fn1s,ἐμπάθειας,,,,,0
32316,ε06257,ἐμπαθής,a,aps---cn5s,ἐμπαθής ἐμπαθής ἐμπαθές,,,,,0
32317,ε06258,ἔμπαιγμα,n,n-s---nn3t,ἐμπαίγματος,,,,,0
32319,ε06260,ἐμπαιγμός,n,----------,,,,,,0
32320,ε06261,ἐμπαιδεύω,v,----------,,,,,,0
32321,ε06262,ἐμπαιδοτριβέομαι,v,----------,,,,,,0
32322,ε06263,ἐμπαιδοτροφέομαι,v,----------,,,,,,0
32323,ε06264,ἐμπαίζω,v,----------,,,,,,0
32324,ε06265,ἐμπαίκτης,n,n-s---mn1e,ἐμπαίκτου,,,,,0
32325,ε06266,ἔμπαιος,a,----------,,,,,,0
32327,ε06268,ἔμπαις,n,----------,,,,,,0
32275,ε06216,ἐμμετεωρίζομαι,v,----------,,,,,,0
32332,ε06273,ἐμπακτόω,v,----------,,,,,,0
32333,ε06274,ἐμπάλαγμα,v,----------,,,,,,0
32334,ε06275,ἐμπαλάσσομαι,v,----------,,,,,,0
32335,ε06276,ἔμπαλι,n,----------,,,,,,0
32336,ε06277,ἔμπαλιν,r,----------,,,,,,0
32337,ε06278,ἐμπάλλομαι,v,----------,,,,,,0
32338,ε06279,ἔμπαμα,n,n-s---nn3t,ἐμπάματος,,,,,0
32340,ε06281,ἐμπανηγυρίζω,v,----------,,,,,,0
32341,ε06282,ἐμπαραβάλλομαι,v,----------,,,,,,0
32342,ε06283,ἐμπαραγίγνομαι,v,----------,,,,,,0
32343,ε06284,ἐμπαράθετος,a,aps---cn2-,ἐμπαράθετος ἐμπαράθετος ἐμπαράθετον,,,,,0
32344,ε06285,ἐμπαραλιμπάνω,v,----------,,,,,,0
32345,ε06286,ἐμπαρασκευάζω,v,----------,,,,,,0
32347,ε06288,ἐμπαρέχω,v,----------,,,,,,0
32348,ε06289,ἐμπαρίσταμαι,v,----------,,,,,,0
32349,ε06290,ἐμπαροινέω,v,----------,,,,,,0
32350,ε06291,ἐμπαροίνημα,n,n-s---nn3t,ἐμπαροινήματος,,,,,0
32351,ε06292,ἐμπαρρησιάζομαι,v,----------,,,,,,0
32352,ε06293,ἔμπαρσις,n,n-s---fn3v,ἐμπαρσέως,,,,,0
32353,ε06295,ἔμπας,n,----------,,,,,,0
32354,ε06294,ἔμπας,a,----------,,,,,,0
32355,ε06297,ἔμπασις,n,----------,,,,,,0
32356,ε06296,ἔμπασις,n,n-s---fn3v,ἐμπασέως,,,,,0
32358,ε06299,ἐμπάσσω,v,----------,,,,,,0
32359,ε06300,ἐμπαστέον,a,----------,,,,,,0
32361,ε06302,ἐμπαταγέω,v,----------,,,,,,0
32362,ε06303,ἐμπάτακτος,n,----------,,,,,,0
32363,ε06304,ἐμπατέω,v,----------,,,,,,0
32364,ε06305,ἔμπεδα,n,----------,,,,,,0
32365,ε06306,ἐμπεδέω,v,----------,,,,,,0
32366,ε06307,ἐμπεδής,r,----------,,,,,,0
32369,ε06310,ἐμπεδολώβης,n,----------,,,,,,0
32370,ε06311,ἐμπεδόμοχθος,a,aps---cn2-,ἐμπεδόμοχθος ἐμπεδόμοχθος ἐμπεδόμοχθον,,,,,0
32371,ε06312,ἐμπεδόμυθος,a,aps---cn2-,ἐμπεδόμυθος ἐμπεδόμυθος ἐμπεδόμυθον,,,,,0
32372,ε06313,ἐμπεδορκέω,v,----------,,,,,,0
32373,ε06315,ἔμπεδος,a,----------,,,,,,0
32374,ε06314,ἔμπεδος,a,aps---cn2-,ἔμπεδος ἔμπεδος ἔμπεδον,,,,,0
32376,ε06317,ἐμπεδόφρων,a,aps---cn3n,ἐμπεδόφρων ἐμπεδόφρων ἐμπεδόφρον,,,,,0
32377,ε06318,ἐμπεδόφυλλος,a,aps---cn2-,ἐμπεδόφυλλος ἐμπεδόφυλλος ἐμπεδόφυλλον,,,,,0
32378,ε06319,ἐμπεδόω,v,----------,,,,,,0
32379,ε06320,ἐμπέδωσις,n,n-s---fn3v,ἐμπεδωσέως,,,,,0
32380,ε06321,ἐμπειράζω,v,----------,,,,,,0
32381,ε06322,ἐμπείραμος,a,aps---cn2-,ἐμπείραμος ἐμπείραμος ἐμπείραμον,,,,,0
32382,ε06323,ἐμπειράομαι,v,----------,,,,,,0
32331,ε06272,ἐμπαίω,v,----------,,,,,,0
33257,ε07192,ἐνδέω,v,----------,,,,,,0
33562,ε07496,ἐνέχω,v,----------,,,,,,0
33688,ε07619,ἐνθρίτης,n,----------,,,,,,0
33689,ε07620,ἐνθρομβόομαι,v,----------,,,,,,0
33690,ε07621,ἐνθρόμβωσις,n,n-s---fn3v,ἐνθρομβωσέως,,,,,0
33691,ε07622,ἐνθρονιαστικά,n,n-p---nn2-,ἐνθρονιαστικῶν,,,,,0
33692,ε07623,ἐνθρονίζω,v,----------,,,,,,0
33693,ε07625,ἐνθρόνισμα,n,n-s---nn3t,ἐνθρονίσματος,,,,,0
33694,ε07624,ἐνθρόνιος,a,aps---cn2-,ἐνθρόνιος ἐνθρόνιος ἐνθρόνιον,,,,,0
33695,ε07626,ἐνθρονισμός,n,----------,,,,,,0
33696,ε07628,ἐνθρύβω,v,----------,,,,,,0
33697,ε07629,ἐνθρυμματίς,n,n-s---fn3d,ἐνθρυμματίδος,,,,,0
33698,ε07630,ἔνθρυος,a,aps---cn2-,ἔνθρυος ἔνθρυος ἔνθρυον,,,,,0
33699,ε07631,ἐνθρύπτης,n,----------,,,,,,0
33700,ε07632,ἔνθρυπτος,a,aps---cn2-,ἔνθρυπτος ἔνθρυπτος ἔνθρυπτον,,,,,0
33701,ε07633,ἐνθρύπτω,v,----------,,,,,,0
33702,ε07634,ἔνθρυσκον,n,n-s---nn2-,ἐνθρύσκου,,,,,0
33703,ε07627,ἐνθρῴσκω,v,----------,,,,,,0
33704,ε07635,ἐνθυμέομαι,v,----------,,,,,,0
33705,ε07636,ἐνθύμημα,n,n-s---nn3t,ἐνθυμήματος,,,,,0
33706,ε07638,ἐνθυμηματικός,a,aps---mn1-,ἐνθυμηματικός ἐνθυμηματική ἐνθυμηματικόν,,,,,0
33707,ε07637,ἐνθυμηματίζομαι,v,----------,,,,,,0
33708,ε07639,ἐνθυμημάτιον,n,n-s---nn2-,ἐνθυμηματίου,,,,,0
33709,ε07640,ἐνθυμηματώδης,a,aps---cn3s,ἐνθυμηματώδης ἐνθυμηματώδης ἐνθυμηματώ͂δες,,,,,0
33710,ε07641,ἐνθύμησις,n,n-s---fn3v,ἐνθυμησέως,,,,,0
33711,ε07642,ἐνθυμητέον,a,----------,,,,,,0
33712,ε07643,ἐνθυμία,n,n-s---fn1l,ἐνθυμίας,,,/en.tʰyː.mí.aː/,,0
33713,ε07644,ἐνθυμιάζομαι,v,----------,,,,,,0
33714,ε07645,ἐνθυμίζομαι,v,----------,,,,,,0
33715,ε07646,ἐνθύμιος,a,aps---cn2-,ἐνθύμιος ἐνθύμιος ἐνθύμιον,,,,,0
33716,ε07647,ἐνθυμιστός,a,aps---mn1-,ἐνθυμιστός ἐνθυμιστή ἐνθυμιστόν,,,,,0
33717,ε07648,ἔνθυμος,a,aps---cn2-,ἔνθυμος ἔνθυμος ἔνθυμον,,,,,0
33718,ε07649,ἐνθυσιάζω,v,----------,,,,,,0
33719,ε07650,ἐνθωρακίζω,v,----------,,,,,,0
33720,ε07652,ἐνί,n,----------,,,,,,0
33721,ε07653,ἑνί,m,----------,,,,,,0
33722,ε07651,ἔνι,n,----------,,,,,,0
33723,ε07656,ἑνιαῖος,a,aps---mn1-,ἑνιαῖος ἑνιαῖα ἑνιαῖον,,,,,0
33724,ε07655,ἐνιάκις,r,----------,,,,,,0
33725,ε07657,ἐνιαυθμός,n,----------,,,,,,0
33726,ε07658,ἐνιαυσιαῖος,a,aps---mn1-,ἐνιαυσιαῖος ἐνιαυσιαῖα ἐνιαυσιαῖον,,,,,0
33786,ε07718,ἐνίσσω,v,----------,,,,,,0
33685,ε07616,ἔνθρηνος,a,----------,,,,,,0
33686,ε07617,ἐνθρίακτος,a,aps---cn2-,ἐνθρίακτος ἐνθρίακτος ἐνθρίακτον,,,,,0
33687,ε07618,ἐνθριόω,v,----------,,,,,,0
33730,ε07662,ἐνιαυτοκράτωρ,n,n-s---mn3r,ἐνιαυτοκράτορος,,,,,0
33731,ε07663,ἐνιαυτός,n,n-s---mn2-,,,,,,0
33732,ε07664,ἐνιαυτοφανής,a,aps---cn5s,ἐνιαυτοφανής ἐνιαυτοφανής ἐνιαυτοφανές,,,,,0
33733,ε07665,ἐνιαυτοφορέω,v,----------,,,,,,0
33734,ε07666,ἐνιαύω,v,----------,,,,,,0
33735,ε07667,ἐνιαχῆ,r,----------,,,,,,0
33736,ε07668,ἐνιαχοῦ,r,----------,,,,,,0
33737,ε07669,ἐνιβάλλω,v,----------,,,,,,0
33738,ε07670,ἔνιγμα,n,n-s---nn3t,ἐνίγματος,,,,,0
33740,ε07672,ἐνιδεῖν,n,----------,,,,,,0
33741,ε07673,ἐνιδρόω,v,----------,,,,,,0
33742,ε07674,ἐνίδρυσις,n,n-s---fn3v,ἐνιδρυσέως,,,,,0
33743,ε07675,ἐνιδρύω,v,----------,,,,,,0
33744,ε07676,ἐνιζάνω,v,----------,,,,,,0
33745,ε07677,ἐνιζεύγνυμι,v,----------,,,,,,0
33746,ε07678,ἐνίζησις,n,n-s---fn3v,ἐνιζησέως,,,,,0
33747,ε07679,ἐνίζω,v,----------,,,,,,0
33748,ε07680,ἑνίζω,v,----------,,,,,,0
33749,ε07681,ἐνίημι,v,----------,,,,,,0
33751,ε07683,ἐνιθύνω,v,----------,,,,,,0
33752,ε07684,ἐνικάββαλε,n,----------,,,,,,0
33754,ε07686,ἐνικάτθεο,n,----------,,,,,,0
33755,ε07687,ἐνικλάω,v,----------,,,,,,0
33756,ε07688,ἐνικλείω,v,----------,,,,,,0
33757,ε07689,ἔνικμος,a,aps---cn2-,ἔνικμος ἔνικμος ἔνικμον,,,,,0
33758,ε07690,ἐνικνέομαι,v,----------,,,,,,0
33759,ε07691,ἐνικνήθω,v,----------,,,,,,0
33761,ε07693,ἐνικρίνω,v,----------,,,,,,0
33763,ε07695,ἐνίλλω,v,----------,,,,,,0
33764,ε07696,ἐνιοβολέω,v,----------,,,,,,0
33765,ε07697,ἔνιοι,a,----------,,,,,,0
33766,ε07698,ἐνίοκα,n,----------,,,,,,0
33767,ε07699,ἐνίοτε,r,----------,,,,,,0
33768,ε07700,ἐνιπή,n,n-s---fn1e,ἐνιπῆς,,,,,0
33769,ε07701,ἐνίπλειος,a,aps---cn2-,ἐνίπλειος ἐνίπλειος ἐνίπλειον,,,,,0
33770,ε07702,ἐνιπλήσασθαι,n,----------,,,,,,0
33771,ε07703,ἐνιπλήσσω,v,----------,,,,,,0
33772,ε07704,ἐνιπλώω,v,----------,,,,,,0
33774,ε07706,ἐνιππεύω,v,----------,,,,,,0
33775,ε07707,ἐνιππομαχέω,v,----------,,,,,,0
33776,ε07709,ἐνιπρῆσαι,n,----------,,,,,,0
33777,ε07708,ἐνιπρίω,v,----------,,,,,,0
33778,ε07710,ἐνιπτάζω,v,----------,,,,,,0
33779,ε07711,ἐνιπτύω,v,----------,,,,,,0
33780,ε07712,ἐνίπτω,v,----------,,,,,,0
33781,ε07713,ἐνισκέλλω,v,----------,,,,,,0
33783,ε07715,ἐνισόω,v,----------,,,,,,0
33784,ε07717,ἐνισπεῖν,n,----------,,,,,,0
33785,ε07716,ἐνισπείρω,v,----------,,,,,,0
33728,ε07660,ἐνιαυτίζομαι,v,----------,,,,,,0
33789,ε07721,ἔνισχνος,a,aps---cn2-,ἔνισχνος ἔνισχνος ἔνισχνον,,,,,0
33790,ε07722,ἐνισχυρίζομαι,v,----------,,,,,,0
33791,ε07723,ἐνισχύω,v,----------,,,,,,0
33792,ε07724,ἐνίσχω,v,----------,,,,,,0
33793,ε07725,ἐνιτελέω,v,----------,,,,,,0
33794,ε07726,ἐνιτρέφω,v,----------,,,,,,0
33796,ε07728,ἐνίχνιον,n,n-s---nn2-,ἐνιχνίου,,,,,0
33797,ε07729,ἐνιχραύω,v,----------,,,,,,0
33798,ε07730,ἐνιψάω,v,----------,,,,,,0
33799,ε07731,ἐνιψηφίζομαι,v,----------,,,,,,0
33800,ε07732,ἐνίψω,v,----------,,,,,,0
33801,ε07733,ἐνλαξευω,v,----------,,,,,,0
33802,ε07734,ἔνλιθος,a,aps---cn2-,ἔνλιθος ἔνλιθος ἔνλιθον,,,,,0
33803,ε07735,ἐνλιμενίζειν,v,----------,,,,,,0
33804,ε07738,ἐνμαχατεύειν,n,----------,,,,,,0
33805,ε07739,ἐνμεντευθενί,r,----------,,,,,,0
33806,ε07741,ἐννάγωνον,n,n-s---nn2-,ἐνναγώνου,,,,,0
33808,ε07743,ἐνναετηρίς,n,----------,,,,,,0
33810,ε07745,ἐνναέτης,a,aps---cn3s,ἐνναέτης ἐνναέτης ἐνναέτες,,,,,0
33811,ε07746,ἐνναέτης,n,n-s---mn1e,ἐνναέτου,,,,,0
33812,ε07747,ἐνναετία,n,n-s---fn1l,ἐνναετίας,,,,,0
33813,ε07748,ἐνναετίζομαι,v,----------,,,,,,0
33814,ε07749,ἔνναιον,n,n-s---nn2-,ἐνναίου,,,,,0
33815,ε07750,ἐνναίω,v,----------,,,,,,0
33816,ε07751,ἐννάκις,n,----------,,,,,,0
33817,ε07752,ἐννακόσιοι,n,----------,,,,,,0
33818,ε07753,ἐννάσσω,v,----------,,,,,,0
33819,ε07754,ἐνναυλοχέομαι,v,----------,,,,,,0
33820,ε07755,ἐνναυμαχέω,v,----------,,,,,,0
33822,ε07757,ἐννέα,a,----------,,,,,,0
33824,ε07759,ἐννεάγηρα,a,----------,,,,,,0
33825,ε07760,ἐννεαγράμματον,n,n-s---nn2-,ἐννεαγραμμάτου,,,,,0
33827,ε07762,ἐννεαδάκτυλος,a,aps---cn2-,ἐννεαδάκτυλος ἐννεαδάκτυλος ἐννεαδάκτυλον,,,,,0
33828,ε07763,ἐννεάδεσμος,a,aps---cn2-,ἐννεάδεσμος ἐννεάδεσμος ἐννεάδεσμον,,,,,0
33829,ε07764,ἐννεαδικός,a,aps---mn1-,ἐννεαδικός ἐννεαδική ἐννεαδικόν,,,,,0
33830,ε07765,ἐννεαετηρικός,a,aps---mn1-,ἐννεαετηρικός ἐννεαετηρική ἐννεαετηρικόν,,,,,0
33831,ε07766,ἐννεαέτης,n,n-s---mn1e,ἐννεαέτου,,,,,0
33832,ε07767,ἐννεαετία,n,n-s---fn1l,ἐννεαετίας,,,,,0
33833,ε07768,ἐννεάζω,v,----------,,,,,,0
33834,ε07769,ἐννεακαίδεκα,a,----------,,,,,,0
33836,ε07771,ἐννεακαιδεκαέτης,n,n-s---mn1e,ἐννεακαιδεκαέτου,,,,,0
33838,ε07773,ἐννεακαιδεκαπλάσιος,a,aps---mn1-,ἐννεακαιδεκαπλάσιος ἐννεακαιδεκαπλάσια ἐννεακαιδεκαπλάσιον,,,,,0
33788,ε07720,ἐνίστιος,n,----------,,,,,,0
33841,ε07776,ἐννεακαιδέκατος,a,aps---mn1-,ἐννεακαιδέκατος ἐννεακαιδεκάτη ἐννεακαιδέκατον,,,,,0
33842,ε07777,ἐννεακαιδεκέτης,a,aps---cn3s,ἐννεακαιδεκέτης ἐννεακαιδεκέτης ἐννεακαιδεκέτες,,,,,0
33843,ε07778,ἐννεακαιεικοσικαιεπτακοσιοπλασιάκις,r,----------,,,,,,0
33845,ε07780,ἐννεακέφαλος,a,aps---cn2-,ἐννεακέφαλος ἐννεακέφαλος ἐννεακέφαλον,,,,,0
33846,ε07781,ἐννεάκις,r,----------,,,,,,0
33847,ε07782,ἐννεακισχίλιοι,n,----------,,,,,,0
33848,ε07783,ἐννεάκλινος,a,aps---cn2-,ἐννεάκλινος ἐννεάκλινος ἐννεάκλινον,,,,,0
33849,ε07784,ἐννεακότυλος,a,aps---cn2-,ἐννεακότυλος ἐννεακότυλος ἐννεακότυλον,,,,,0
33850,ε07785,ἐννεάκρουνος,a,aps---cn2-,ἐννεάκρουνος ἐννεάκρουνος ἐννεάκρουνον,,,,,0
33851,ε07786,ἐννεάκυκλος,a,aps---cn2-,ἐννεάκυκλος ἐννεάκυκλος ἐννεάκυκλον,,,,,0
33852,ε07787,ἐννεάλινος,a,aps---cn2-,ἐννεάλινος ἐννεάλινος ἐννεάλινον,,,,,0
33853,ε07788,ἐννεαμηνιαῖος,a,aps---mn1-,ἐννεαμηνιαῖος ἐννεαμηνιαῖα ἐννεαμηνιαῖον,,,,,0
33854,ε07789,ἐννεάμηνος,a,aps---cn2-,ἐννεάμηνος ἐννεάμηνος ἐννεάμηνον,,,,,0
33855,ε07790,ἐννεάμορφος,a,aps---cn2-,ἐννεάμορφος ἐννεάμορφος ἐννεάμορφον,,,,,0
33857,ε07792,ἐννεάνειρα,n,----------,,,,,,0
33858,ε07793,ἐννεάπηχυς,a,aps---cn5u,ἐννεάπηχυς ἐννεάπηχυς ἐννεάπηχυ,,,,,0
33859,ε07794,ἐννεαπλάσιος,a,aps---mn1-,ἐννεαπλάσιος ἐννεαπλάσια ἐννεαπλάσιον,,,,,0
33860,ε07795,ἐννεαπνεύμων,a,aps---cn3n,ἐννεαπνεύμων ἐννεαπνεύμων ἐννεαπνεύμον,,,,,0
33861,ε07796,ἐννεάπολις,n,----------,,,,,,0
33862,ε07797,ἐννεάπους,n,----------,,,,,,0
33863,ε07798,ἐννεάρμενος,a,aps---cn2-,ἐννεάρμενος ἐννεάρμενος ἐννεάρμενον,,,,,0
33864,ε07799,ἐννεάς,n,n-s---fn3d,ἐννεάδος,,,,,0
33866,ε07801,ἐννεάστερος,a,aps---cn2-,ἐνν<ε>άστερος ἐνν<ε>άστερος ἐνν<ε>άστερον,,,,,0
33868,ε07803,ἐννεάσφαιρος,a,aps---cn2-,ἐννεάσφαιρος ἐννεάσφαιρος ἐννεάσφαιρον,,,,,0
33869,ε07804,ἐννεατηρίς,n,----------,,,,,,0
33870,ε07805,ἐννεαφάρμακος,a,aps---cn2-,ἐννεαφάρμακος ἐννεαφάρμακος ἐννεαφάρμακον,,,,,0
